;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
1;Nao_branca;FundamentalCompleto;Zero;E
2;Branca;NuncaEstudou;Um;E
3;Nao_branca;Medio;Zero;E
4;Nao_branca;FundamentalIncompleto;Zero;E
5;Nao_branca;FundamentalCompleto;Zero;E
8;Nao declarado;FundamentalIncompleto;Um;E
9;Nao_branca;FundamentalIncompleto;Zero;E
11;Nao_branca;FundamentalCompleto;Um;E
12;Nao_branca;FundamentalIncompleto;Um;E
13;Nao_branca;Medio;Zero;E
14;Nao declarado;FundamentalCompleto;Um;E
15;Nao_branca;FundamentalIncompleto;Zero;E
18;Nao_branca;FundamentalIncompleto;Zero;E
19;Nao_branca;FundamentalIncompleto;Zero;E
20;Nao_branca;FundamentalIncompleto;Um;D
21;Branca;Superior;Um;D
22;Nao_branca;FundamentalIncompleto;Zero;E
25;Nao_branca;FundamentalIncompleto;Zero;E
28;Nao_branca;FundamentalIncompleto;Zero;E
30;Branca;FundamentalCompleto;Zero;E
31;Nao_branca;FundamentalCompleto;Zero;E
32;Nao_branca;FundamentalIncompleto;Zero;E
33;Nao_branca;Medio;Zero;E
34;Branca;Medio;Zero;E
35;Nao_branca;FundamentalCompleto;Um;D
36;Nao_branca;Medio;Zero;E
37;Nao_branca;Medio;Zero;E
38;Nao_branca;FundamentalIncompleto;Zero;E
39;Branca;FundamentalIncompleto;Zero;E
40;Nao_branca;Medio;Um;E
43;Nao_branca;FundamentalIncompleto;Um;E
44;Nao_branca;Superior;Um;E
45;Nao_branca;Superior;Dois;E
46;Branca;FundamentalCompleto;Zero;D
47;Branca;FundamentalIncompleto;Zero;E
48;Nao_branca;Medio;Zero;D
49;Nao_branca;FundamentalIncompleto;Um;E
50;Nao_branca;FundamentalIncompleto;Zero;E
52;Nao_branca;Superior;Zero;E
53;Nao_branca;FundamentalCompleto;Zero;E
55;Nao_branca;Superior;Um;E
56;Nao_branca;FundamentalIncompleto;Um;E
57;Nao_branca;Medio;Um;E
58;Nao_branca;FundamentalIncompleto;Zero;D
59;Nao_branca;Medio;Um;E
61;Nao_branca;Medio;Zero;E
62;Nao_branca;FundamentalIncompleto;Um;E
63;Nao_branca;Medio;Zero;E
64;Nao_branca;FundamentalCompleto;Zero;E
65;Branca;FundamentalIncompleto;Zero;E
66;Nao_branca;Medio;Um;E
67;Nao_branca;Medio;Um;E
69;Nao_branca;Medio;Zero;E
70;Nao_branca;Medio;Zero;E
71;Nao_branca;FundamentalIncompleto;Um;E
72;Nao_branca;Medio;Dois;C
75;Nao_branca;Superior;Zero;E
76;Nao_branca;FundamentalIncompleto;Um;E
77;Nao_branca;FundamentalIncompleto;Um;E
79;Nao declarado;FundamentalCompleto;Zero;E
80;Nao_branca;Superior;Dois;E
81;Nao_branca;FundamentalIncompleto;Um;E
82;Nao_branca;Superior;Um;D
84;Nao_branca;Medio;Zero;E
85;Nao_branca;Medio;Um;E
86;Branca;Superior;Zero;E
87;Branca;FundamentalCompleto;Zero;E
88;Nao_branca;FundamentalCompleto;Zero;E
89;Nao_branca;FundamentalCompleto;Zero;E
90;Nao_branca;Medio;Zero;E
