;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
1;C2;Nao_branca;Fundamental;Zero;E1
4;C1;Branca;NuncaEstudou;Zero;E1
6;C2;Nao_branca;Fundamental;Um;E1
7;C3;Nao_branca;Medio;Zero;E1
8;C3;Nao_branca;Medio;Um;E1
10;C3;Nao_branca;Medio;Zero;E1
14;C2;Nao_branca;Fundamental;Zero;E1
17;C4;Nao_branca;Superior;Zero;E1
18;C1;Branca;Fundamental;Zero;E1
19;C3;Nao_branca;Medio;Um;E1
22;C2;Nao_branca;Fundamental;Zero;E1
24;C2;Nao_branca;Fundamental;Um;E1
28;C1;Branca;Fundamental;Zero;E1
29;C2;Nao_branca;Fundamental;Zero;E1
30;C2;Nao_branca;Fundamental;Zero;E1
31;C3;Nao_branca;Medio;Zero;E1
32;C2;Nao_branca;Fundamental;Zero;E1
33;C2;Nao_branca;Fundamental;Zero;E1
34;C2;Nao_branca;Fundamental;Zero;E1
35;C4;Nao_branca;Superior;Zero;E1
36;C3;Nao_branca;Medio;Zero;D1
37;C1;Branca;Fundamental;Zero;E1
38;C2;Nao_branca;Fundamental;Zero;E1
39;C2;Nao_branca;Fundamental;Zero;E1
41;C3;Nao_branca;Medio;Zero;E1
42;C2;Nao_branca;Fundamental;Zero;E1
43;C1;Branca;Fundamental;Zero;D1
45;C3;Nao_branca;Medio;Um;E1
46;C1;Branca;Superior;Dois;E1
47;C2;Nao_branca;Fundamental;Zero;E1
48;C1;Nao declarado;Fundamental;Zero;E1
49;C2;Nao_branca;NuncaEstudou;Zero;E1
50;C2;Nao_branca;Fundamental;Zero;E1
51;C4;Nao_branca;Superior;Zero;E1
52;C2;Nao_branca;Fundamental;Zero;E1
53;C3;Nao_branca;Medio;Zero;E1
54;C2;Nao_branca;Fundamental;Zero;E1
55;C2;Nao_branca;NuncaEstudou;Zero;E1
56;C2;Nao_branca;Fundamental;Um;E1
57;C2;Nao_branca;Fundamental;Zero;E1
58;C2;Nao_branca;Fundamental;Um;E1
59;C3;Nao_branca;Medio;Zero;E1
60;C3;Nao_branca;Medio;Zero;E1
61;C2;Nao_branca;Fundamental;Zero;E1
62;C4;Nao_branca;Superior;Zero;E1
63;C3;Nao_branca;Medio;Zero;E1
66;C2;Nao_branca;Fundamental;Zero;E1
67;C2;Nao_branca;Fundamental;Zero;E1
68;C3;Nao_branca;Medio;Zero;E1
69;C2;Nao_branca;Fundamental;Zero;E1
70;C2;Nao_branca;Fundamental;Zero;E1
71;C2;Nao_branca;Fundamental;Zero;E1
72;C2;Nao_branca;Fundamental;Zero;E1
73;C1;Branca;Medio;Um;E1
75;C4;Nao_branca;Superior;Zero;E1
76;C2;Nao_branca;Fundamental;Zero;E1
77;C2;Nao_branca;Fundamental;Zero;E1
78;C3;Nao_branca;Medio;Dois;B1
80;C2;Nao_branca;Fundamental;Zero;E1
81;C4;Nao_branca;Superior;Zero;E1
82;C4;Nao_branca;Superior;Um;E1
83;C4;Nao_branca;Superior;Zero;E1
85;C2;Nao_branca;Fundamental;Zero;E1
86;C2;Nao_branca;Fundamental;Zero;E1
88;C4;Nao_branca;Superior;Zero;E1
89;C2;Nao_branca;Fundamental;Zero;E1
90;C4;Nao_branca;Superior;Um;E1
91;C1;Branca;Fundamental;Zero;E1
92;C3;Nao_branca;Medio;Zero;E1
93;C2;Nao_branca;Fundamental;Zero;E1
94;C3;Nao_branca;Medio;Zero;E1
95;C2;Nao_branca;Fundamental;Zero;E1
97;C3;Nao_branca;Medio;Um;E1
98;C3;Nao_branca;Medio;Um;D1
99;C4;Nao_branca;Superior;Dois;E1
100;C1;Branca;Fundamental;Um;E1
101;C3;Nao_branca;Medio;Um;E1
102;C2;Nao_branca;Fundamental;Um;D1
103;C3;Nao_branca;Medio;Zero;E1
105;C2;Nao_branca;Fundamental;Um;E1
106;C1;Branca;Medio;Zero;E1
108;C2;Nao_branca;Fundamental;Zero;D1
109;C2;Nao_branca;Fundamental;Zero;E1
111;C2;Nao_branca;Fundamental;Zero;E1
112;C1;Branca;Fundamental;Zero;E1
113;C3;Nao_branca;Medio;Zero;E1
114;C3;Nao_branca;Medio;Zero;E1
115;C2;Nao_branca;Fundamental;Zero;E1
116;C4;Nao_branca;Superior;Dois;D1
117;C1;Branca;Medio;Um;E1
118;C1;Branca;Fundamental;Um;E1
119;C3;Nao_branca;Medio;Zero;E1
120;C2;Nao_branca;Fundamental;Zero;E1
121;C2;Nao_branca;Fundamental;Zero;E1
122;C2;Nao_branca;Fundamental;Zero;E1
123;C2;Nao_branca;NuncaEstudou;Zero;E1
124;C2;Nao_branca;Fundamental;Zero;E1
125;C1;Branca;Fundamental;Zero;E1
126;C1;Branca;Medio;Zero;E1
127;C3;Nao_branca;Medio;Zero;E1
128;C2;Nao_branca;Fundamental;Zero;E1
129;C2;Nao_branca;Fundamental;Zero;D1
130;C1;Branca;Superior;Um;D1
132;C2;Nao_branca;Fundamental;Zero;E1
133;C2;Nao_branca;Fundamental;Um;E1
134;C2;Nao_branca;NuncaEstudou;Zero;E1
136;C2;Nao_branca;Fundamental;Zero;E1
137;C3;Nao_branca;Medio;Um;E1
138;C1;Nao declarado;Fundamental;Zero;E1
141;C3;Nao_branca;Medio;Zero;E1
143;C2;Nao_branca;Fundamental;Um;E1
144;C1;Branca;Fundamental;Zero;E1
145;C2;Nao_branca;Fundamental;Zero;E1
146;C2;Nao_branca;Fundamental;Zero;E1
147;C2;Nao_branca;Fundamental;Zero;E1
148;C3;Nao_branca;Medio;Um;E1
149;C2;Nao_branca;NuncaEstudou;Zero;E1
151;C2;Nao_branca;Fundamental;Zero;E1
152;C2;Nao_branca;Fundamental;Zero;E1
153;C3;Nao_branca;Medio;Um;E1
154;C2;Nao_branca;Fundamental;Zero;E1
155;C2;Nao_branca;Fundamental;Zero;E1
156;C3;Nao_branca;Medio;Zero;E1
157;C3;Nao_branca;Medio;Zero;E1
158;C2;Nao_branca;Fundamental;Zero;E1
159;C2;Nao_branca;Fundamental;Zero;E1
160;C4;Nao_branca;Superior;Zero;E1
161;C2;Nao_branca;Fundamental;Zero;E1
162;C2;Nao_branca;Fundamental;Zero;E1
163;C2;Nao_branca;Fundamental;Zero;E1
164;C2;Nao_branca;Fundamental;Um;E1
165;C2;Nao_branca;Fundamental;Zero;E1
166;C2;Nao_branca;Fundamental;Zero;E1
167;C2;Nao_branca;Fundamental;Zero;E1
168;C2;Nao_branca;Fundamental;Zero;E1
171;C2;Nao_branca;Fundamental;Zero;E1
172;C3;Nao_branca;Medio;Zero;E1
173;C2;Nao_branca;Fundamental;Zero;E1
174;C3;Nao_branca;Medio;Zero;E1
175;C2;Nao_branca;Fundamental;Zero;E1
176;C2;Nao_branca;Fundamental;Zero;E1
177;C2;Nao_branca;Fundamental;Zero;E1
178;C1;Branca;Fundamental;Um;D1
179;C3;Nao_branca;Medio;Um;E1
180;C2;Nao_branca;Fundamental;Zero;E1
181;C2;Nao_branca;Fundamental;Zero;E1
182;C2;Nao_branca;Fundamental;Zero;E1
183;C4;Nao_branca;Superior;Zero;E1
184;C2;Nao_branca;Fundamental;Zero;E1
185;C3;Nao_branca;Medio;Zero;E1
186;C1;Branca;Medio;Dois;D1
188;C3;Nao_branca;Medio;Um;E1
189;C2;Nao_branca;Fundamental;Zero;E1
190;C3;Nao_branca;Medio;Zero;E1
192;C4;Nao_branca;Superior;Um;E1
193;C4;Nao_branca;Superior;Um;E1
194;C2;Nao_branca;Fundamental;Zero;E1
195;C3;Nao_branca;Medio;Um;E1
197;C2;Nao_branca;Fundamental;Zero;E1
198;C2;Nao_branca;Fundamental;Zero;E1
199;C2;Nao_branca;Fundamental;Zero;E1
200;C4;Nao_branca;Superior;Zero;D1
201;C3;Nao_branca;Medio;Um;E1
202;C2;Nao_branca;Fundamental;Zero;E1
203;C4;Nao_branca;Superior;Zero;E1
204;C4;Nao_branca;Superior;Zero;D1
205;C2;Nao_branca;Fundamental;Zero;E1
206;C1;Branca;Fundamental;Zero;E1
207;C2;Nao_branca;NuncaEstudou;Zero;E1
209;C2;Nao_branca;Fundamental;Zero;E1
210;C2;Nao_branca;Fundamental;Zero;E1
211;C2;Nao_branca;Fundamental;Zero;E1
212;C1;Branca;Fundamental;Zero;E1
213;C2;Nao_branca;Fundamental;Zero;E1
214;C4;Nao_branca;Superior;Zero;E1
215;C3;Nao_branca;Medio;Zero;E1
217;C2;Nao_branca;Fundamental;Zero;E1
218;C3;Nao_branca;Medio;Zero;E1
220;C3;Nao_branca;Medio;Um;E1
221;C2;Nao_branca;Fundamental;Um;E1
222;C2;Nao_branca;Fundamental;Um;E1
223;C3;Nao_branca;Medio;Zero;E1
224;C3;Nao_branca;Medio;Zero;C1
225;C1;Branca;Superior;Zero;E1
226;C3;Nao_branca;Medio;Zero;E1
227;C4;Nao_branca;Superior;Zero;E1
228;C1;Branca;Superior;Zero;E1
229;C3;Nao_branca;Medio;Um;E1
230;C2;Nao_branca;Fundamental;Zero;E1
231;C2;Nao_branca;Fundamental;Zero;E1
232;C4;Nao_branca;Superior;Zero;E1
233;C2;Nao_branca;Fundamental;Um;E1
234;C2;Nao_branca;Fundamental;Zero;E1
235;C2;Nao_branca;Fundamental;Zero;E1
236;C2;Nao_branca;Fundamental;Zero;E1
237;C3;Nao_branca;Medio;Zero;E1
238;C2;Nao_branca;Fundamental;Um;D1
239;C4;Nao_branca;Superior;Zero;E1
240;C2;Nao_branca;Fundamental;Zero;D1
241;C2;Nao_branca;Fundamental;Zero;E1
242;C2;Nao_branca;Fundamental;Um;E1
243;C2;Nao_branca;Fundamental;Zero;E1
244;C2;Nao_branca;Fundamental;Zero;E1
245;C2;Nao_branca;Fundamental;Zero;E1
247;C2;Nao_branca;Fundamental;Um;E1
248;C3;Nao_branca;Medio;Zero;E1
250;C2;Nao_branca;Fundamental;Zero;E1
251;C2;Nao_branca;NuncaEstudou;Zero;E1
253;C3;Nao_branca;Medio;Zero;E1
254;C2;Nao_branca;Fundamental;Um;E1
255;C2;Nao_branca;Fundamental;Zero;E1
256;C2;Nao_branca;Fundamental;Dois;C1
257;C3;Nao_branca;Medio;Zero;E1
