ID_MATRICULA;IN_TRANSPORTE_PUBLICO;TP_ETAPA_ENSINO;IN_REGULAR;IN_EJA;CO_ENTIDADE;CO_MUNICIPIO
131064289;1.0;18.0;1.0;0.0;31069078;3138609
169443409;0.0;18.0;1.0;0.0;31069078;3138609
169452479;0.0;18.0;1.0;0.0;31069078;3138609
184296939;0.0;18.0;1.0;0.0;31069078;3138609
278147173;1.0;18.0;1.0;0.0;31069078;3138609
278148115;1.0;18.0;1.0;0.0;31069078;3138609
278148600;1.0;18.0;1.0;0.0;31069078;3138609
278150061;0.0;18.0;1.0;0.0;31069078;3138609
278150577;1.0;18.0;1.0;0.0;31069078;3138609
278151616;1.0;18.0;1.0;0.0;31069078;3138609
278154507;1.0;18.0;1.0;0.0;31069078;3138609
278155982;1.0;18.0;1.0;0.0;31069078;3138609
278157322;1.0;18.0;1.0;0.0;31069078;3138609
278157736;1.0;18.0;1.0;0.0;31069078;3138609
278403973;1.0;18.0;1.0;0.0;31069078;3138609
278405848;1.0;18.0;1.0;0.0;31069078;3138609
278406226;1.0;18.0;1.0;0.0;31069078;3138609
278406378;1.0;18.0;1.0;0.0;31069078;3138609
278407727;1.0;18.0;1.0;0.0;31069078;3138609
278417035;1.0;18.0;1.0;0.0;31069078;3138609
278419133;1.0;18.0;1.0;0.0;31069078;3138609
278421745;1.0;18.0;1.0;0.0;31069078;3138609
278426790;1.0;18.0;1.0;0.0;31069078;3138609
278428957;1.0;18.0;1.0;0.0;31069078;3138609
278433199;1.0;18.0;1.0;0.0;31069078;3138609
278435413;1.0;18.0;1.0;0.0;31069078;3138609
278437578;1.0;18.0;1.0;0.0;31069078;3138609
278454671;1.0;18.0;1.0;0.0;31069078;3138609
278454884;1.0;18.0;1.0;0.0;31069078;3138609
335261367;1.0;18.0;1.0;0.0;31069078;3138609
335267175;1.0;18.0;1.0;0.0;31069078;3138609
335286487;1.0;18.0;1.0;0.0;31069078;3138609
335287740;0.0;18.0;1.0;0.0;31069078;3138609
335288359;1.0;18.0;1.0;0.0;31069078;3138609
335289573;0.0;18.0;1.0;0.0;31069078;3138609
335289988;1.0;18.0;1.0;0.0;31069078;3138609
335325643;1.0;16.0;1.0;0.0;31069078;3138609
335325968;1.0;17.0;1.0;0.0;31069078;3138609
335326341;1.0;17.0;1.0;0.0;31069078;3138609
335328836;1.0;16.0;1.0;0.0;31069078;3138609
335329131;0.0;17.0;1.0;0.0;31069078;3138609
335330347;1.0;17.0;1.0;0.0;31069078;3138609
335331010;1.0;17.0;1.0;0.0;31069078;3138609
335333346;1.0;17.0;1.0;0.0;31069078;3138609
335338044;1.0;17.0;1.0;0.0;31069078;3138609
335370079;1.0;17.0;1.0;0.0;31069078;3138609
335373460;1.0;17.0;1.0;0.0;31069078;3138609
335373921;1.0;17.0;1.0;0.0;31069078;3138609
335378795;1.0;17.0;1.0;0.0;31069078;3138609
335385143;1.0;17.0;1.0;0.0;31069078;3138609
335392267;1.0;17.0;1.0;0.0;31069078;3138609
335393032;1.0;17.0;1.0;0.0;31069078;3138609
335394335;0.0;17.0;1.0;0.0;31069078;3138609
335394846;1.0;17.0;1.0;0.0;31069078;3138609
335395075;1.0;17.0;1.0;0.0;31069078;3138609
335396309;1.0;16.0;1.0;0.0;31069078;3138609
335397582;1.0;17.0;1.0;0.0;31069078;3138609
335398914;1.0;17.0;1.0;0.0;31069078;3138609
335400061;0.0;17.0;1.0;0.0;31069078;3138609
335400856;1.0;17.0;1.0;0.0;31069078;3138609
335401160;1.0;17.0;1.0;0.0;31069078;3138609
335403820;1.0;17.0;1.0;0.0;31069078;3138609
335404137;1.0;16.0;1.0;0.0;31069078;3138609
335407015;1.0;16.0;1.0;0.0;31069078;3138609
335411245;1.0;16.0;1.0;0.0;31069078;3138609
335438741;1.0;17.0;1.0;0.0;31069078;3138609
335439119;1.0;17.0;1.0;0.0;31069078;3138609
335441624;1.0;16.0;1.0;0.0;31069078;3138609
381818091;0.0;1.0;1.0;0.0;31304981;3138609
381826380;0.0;1.0;1.0;0.0;31304981;3138609
381833788;0.0;1.0;1.0;0.0;31304981;3138609
381836808;0.0;1.0;1.0;0.0;31304981;3138609
381842197;0.0;1.0;1.0;0.0;31304981;3138609
381853212;0.0;1.0;1.0;0.0;31304981;3138609
381855241;0.0;1.0;1.0;0.0;31304981;3138609
381858297;0.0;1.0;1.0;0.0;31304981;3138609
381872111;0.0;1.0;1.0;0.0;31304981;3138609
381875191;0.0;1.0;1.0;0.0;31304981;3138609
381879841;0.0;1.0;1.0;0.0;31304981;3138609
381881027;0.0;1.0;1.0;0.0;31304981;3138609
381881360;0.0;1.0;1.0;0.0;31304981;3138609
382079419;0.0;1.0;1.0;0.0;31304981;3138609
382082427;0.0;1.0;1.0;0.0;31304981;3138609
382082963;0.0;1.0;1.0;0.0;31304981;3138609
382083470;0.0;1.0;1.0;0.0;31304981;3138609
382085821;0.0;1.0;1.0;0.0;31304981;3138609
382087228;0.0;1.0;1.0;0.0;31304981;3138609
382087534;0.0;1.0;1.0;0.0;31304981;3138609
382087889;0.0;1.0;1.0;0.0;31304981;3138609
382089093;0.0;1.0;1.0;0.0;31304981;3138609
382089380;0.0;1.0;1.0;0.0;31304981;3138609
382089856;0.0;1.0;1.0;0.0;31304981;3138609
382097759;0.0;1.0;1.0;0.0;31304981;3138609
382100157;0.0;1.0;1.0;0.0;31304981;3138609
382101871;0.0;1.0;1.0;0.0;31304981;3138609
382104560;0.0;2.0;1.0;0.0;31304981;3138609
382105217;0.0;2.0;1.0;0.0;31304981;3138609
382107017;0.0;2.0;1.0;0.0;31304981;3138609
382110698;0.0;2.0;1.0;0.0;31304981;3138609
382110851;0.0;2.0;1.0;0.0;31304981;3138609
382111831;0.0;2.0;1.0;0.0;31304981;3138609
382112009;0.0;2.0;1.0;0.0;31304981;3138609
382118862;0.0;2.0;1.0;0.0;31304981;3138609
382120458;0.0;2.0;1.0;0.0;31304981;3138609
382120699;0.0;2.0;1.0;0.0;31304981;3138609
382121276;0.0;2.0;1.0;0.0;31304981;3138609
382121741;0.0;2.0;1.0;0.0;31304981;3138609
382123755;0.0;2.0;1.0;0.0;31304981;3138609
383563678;0.0;2.0;1.0;0.0;31304981;3138609
383565127;0.0;2.0;1.0;0.0;31304981;3138609
383570467;0.0;2.0;1.0;0.0;31304981;3138609
383571404;0.0;2.0;1.0;0.0;31304981;3138609
383571597;0.0;2.0;1.0;0.0;31304981;3138609
383572391;0.0;2.0;1.0;0.0;31304981;3138609
