ID_MUNICIPIO;ID_ESCOLA;ID_DEPENDENCIA_ADM;ID_SERIE;ID_ALUNO;PROFICIENCIA_LP_SAEB;PROFICIENCIA_MT_SAEB;IN_PREENCHIMENTO_QUESTIONARIO;RAÇA/COR;nivelEstudoMae
3138609;31069019;Estadual;12;41392660;;;Nao;.;.
3138609;31069019;Estadual;12;41392661;245.441991;213.53896;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;12;41392662;;;Nao;.;.
3138609;31069019;Estadual;12;41392663;231.551467;252.679966;Sim;Não declarado;FundamentalIncompleto
3138609;31069019;Estadual;12;41392664;286.470074;252.766096;Sim;Branca;.
3138609;31069019;Estadual;12;41392665;;;Nao;.;.
3138609;31069019;Estadual;12;41392666;;;Nao;.;.
3138609;31069019;Estadual;12;41394101;294.535632;243.10466;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;12;41394102;241.068019;252.517598;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;12;41394103;189.523771;233.551543;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;12;41392667;;;Nao;.;.
3138609;31069019;Estadual;12;41392668;242.300898;294.531079;Sim;Branca;FundamentalIncompleto
3138609;31069019;Estadual;12;41392669;247.585288;224.641523;Sim;Parda;Sem informacoes
3138609;31069019;Estadual;12;41392670;298.029432;312.285724;Sim;Branca;FundamentalIncompleto
3138609;31069019;Estadual;12;41392671;227.00643;283.012397;Sim;Outros;Sem informacoes
3138609;31069019;Estadual;12;41392672;264.885761;306.202962;Sim;Preta;FundamentalCompleto
3138609;31069019;Estadual;12;41392673;;;Nao;.;.
3138609;31069019;Estadual;12;41392674;292.949714;336.137607;Sim;Branca;FundamentalIncompleto
3138609;31069019;Estadual;12;41392675;183.339155;204.28347;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;12;41392676;261.156106;280.726624;Sim;Branca;Sem informacoes
3138609;31069019;Estadual;12;41392677;225.523041;301.255038;Sim;Não declarado;FundamentalIncompleto
3138609;31069019;Estadual;12;41392678;;;Nao;.;.
3138609;31069019;Estadual;12;41392679;;;Nao;.;.
3138609;31069019;Estadual;12;41392680;;;Nao;.;.
3138609;31069019;Estadual;12;41390464;381.133253;333.402907;Sim;Parda;Medio
3138609;31069019;Estadual;12;41390530;177.220486;167.487314;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;12;41390531;269.441321;220.981638;Sim;Outros;FundamentalIncompleto
3138609;31069019;Estadual;12;41390532;367.104775;307.800476;Sim;Parda;Superior
3138609;31069019;Estadual;12;41390533;262.72803;301.455803;Sim;Preta;Sem informacoes
3138609;31069019;Estadual;12;41390534;;;Nao;.;.
3138609;31069019;Estadual;12;41390535;368.94302;308.576877;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;12;41390536;203.913937;224.650466;Sim;Branca;Medio
3138609;31069019;Estadual;12;41390537;283.930159;288.857057;Sim;Branca;Superior
3138609;31069019;Estadual;12;41390538;295.530067;301.8537;Sim;Branca;Superior
3138609;31069019;Estadual;12;41390539;190.231886;318.697133;Sim;Preta;Medio
3138609;31069019;Estadual;12;41390540;315.124462;280.630713;Sim;Branca;Medio
3138609;31069019;Estadual;12;41390541;;;Nao;.;.
3138609;31069019;Estadual;12;41390542;326.071183;283.896781;Sim;Branca;Medio
3138609;31069019;Estadual;12;41390543;306.534691;299.59878;Sim;Preta;Medio
3138609;31069019;Estadual;12;41394081;289.400655;207.808711;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;12;41394082;330.863589;296.123451;Sim;.;.
3138609;31069019;Estadual;12;41394083;226.489268;240.448433;Sim;Branca;FundamentalIncompleto
3138609;31069019;Estadual;12;41394084;302.586094;332.047463;Sim;Preta;FundamentalIncompleto
3138609;31069019;Estadual;12;41394085;280.248545;230.712213;Sim;.;.
3138609;31069019;Estadual;12;41394086;;;Nao;.;.
3138609;31069019;Estadual;12;41394087;292.36005;276.16581;Sim;Branca;FundamentalIncompleto
3138609;31069019;Estadual;12;41394088;341.577485;324.309896;Sim;Outros;FundamentalCompleto
3138609;31069019;Estadual;12;41394089;279.999358;256.516918;Sim;Outros;Medio
3138609;31069019;Estadual;12;41394090;290.314764;239.93372;Sim;Branca;Medio
3138609;31069019;Estadual;12;41394091;377.313189;276.885144;Sim;Branca;Medio
3138609;31069019;Estadual;12;41394092;265.738001;257.901539;Sim;Parda;Sem informacoes
3138609;31069019;Estadual;12;41394093;203.11635;346.078281;Sim;Parda;Sem informacoes
3138609;31069019;Estadual;12;41394094;324.017633;293.182788;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;12;41394095;252.717125;175.382553;Sim;Parda;Medio
3138609;31069019;Estadual;12;41394096;264.522806;271.610697;Sim;Parda;FundamentalCompleto
3138609;31069019;Estadual;12;41394097;321.494192;300.14932;Sim;Parda;Medio
3138609;31069019;Estadual;12;41394098;229.326852;313.62088;Sim;Preta;Medio
3138609;31069019;Estadual;12;41394099;274.567593;334.030075;Sim;Branca;Medio
