ID_MUNICIPIO;ID_ESCOLA;ID_DEPENDENCIA_ADM;ID_SERIE;ID_ALUNO;PROFICIENCIA_LP_SAEB;PROFICIENCIA_MT_SAEB;IN_PREENCHIMENTO_QUESTIONARIO;RAÇA/COR;nivelEstudoMae
3138609;31069019;Estadual;9;41390544;;;Nao;.;.
3138609;31069019;Estadual;9;41390545;;;Nao;.;.
3138609;31069019;Estadual;9;41390546;174.751587;295.169425;Sim;Não declarado;Medio
3138609;31069019;Estadual;9;41390547;;;Nao;.;.
3138609;31069019;Estadual;9;41390548;277.263477;353.181078;Sim;Branca;Sem informacoes
3138609;31069019;Estadual;9;41390549;272.26144;224.128767;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;9;41390550;;;Nao;.;.
3138609;31069019;Estadual;9;41390551;278.121776;277.97007;Sim;Parda;Sem informacoes
3138609;31069019;Estadual;9;41390552;189.407358;189.603629;Sim;Branca;Superior
3138609;31069019;Estadual;9;41391893;242.845;281.974588;Sim;Branca;Medio
3138609;31069019;Estadual;9;41391894;;;Nao;.;.
3138609;31069019;Estadual;9;41391895;296.699754;267.810298;Sim;Branca;FundamentalIncompleto
3138609;31069019;Estadual;9;41391896;330.593301;371.432942;Sim;Branca;Medio
3138609;31069019;Estadual;9;41391897;348.823695;353.336068;Sim;Branca;Sem informacoes
3138609;31069019;Estadual;9;41391898;313.838914;344.169391;Sim;Branca;Superior
3138609;31069019;Estadual;9;41391899;327.886289;352.860536;Sim;Branca;Medio
3138609;31069019;Estadual;9;41391900;314.183027;282.604718;Sim;Branca;FundamentalIncompleto
3138609;31069019;Estadual;9;41391901;335.774942;324.425649;Sim;Branca;Sem informacoes
3138609;31069019;Estadual;9;41391902;223.261624;271.829516;Sim;Branca;Sem informacoes
3138609;31069019;Estadual;9;41391903;302.806358;336.145209;Sim;Branca;FundamentalIncompleto
3138609;31069019;Estadual;9;41391904;299.972355;218.662721;Sim;.;.
3138609;31069019;Estadual;9;41391905;285.095715;241.423195;Sim;Parda;Medio
3138609;31069019;Estadual;9;41391906;261.88703;178.475746;Sim;Branca;FundamentalCompleto
3138609;31069019;Estadual;9;41391907;325.782714;363.80308;Sim;Branca;Superior
3138609;31069019;Estadual;9;41391908;225.001748;246.649686;Sim;Branca;Superior
3138609;31069019;Estadual;9;41391909;337.611865;390.275028;Sim;Branca;Superior
3138609;31069019;Estadual;9;41391910;322.161758;390.173751;Sim;Branca;Superior
3138609;31069019;Estadual;9;41391911;286.269258;289.324932;Sim;Branca;Medio
3138609;31069019;Estadual;9;41391912;226.576922;253.589222;Sim;Não declarado;Sem informacoes
3138609;31069019;Estadual;9;41391980;151.076702;177.886082;Sim;Preta;FundamentalIncompleto
3138609;31069019;Estadual;9;41391981;;;Nao;.;.
3138609;31069019;Estadual;9;41391982;344.342842;353.965471;Sim;Branca;Sem informacoes
3138609;31069019;Estadual;9;41391983;167.357011;196.241905;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;9;41394100;;;Nao;.;.
3138609;31069019;Estadual;9;41309198;207.142959;199.859704;Sim;Preta;FundamentalIncompleto
3138609;31069019;Estadual;9;41309199;223.381287;129.611655;Sim;Parda;Medio
3138609;31069019;Estadual;9;41309200;346.621778;300.430905;Sim;Branca;FundamentalCompleto
3138609;31069019;Estadual;9;41309201;269.929338;181.958509;Sim;Preta;*
3138609;31069019;Estadual;9;41309202;249.651234;290.376155;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;9;41309203;198.519195;177.349739;Sim;Parda;Sem informacoes
3138609;31069019;Estadual;9;41309204;243.436923;241.353609;Sim;Parda;FundamentalIncompleto
3138609;31069019;Estadual;9;41309205;;;Nao;.;.
3138609;31069019;Estadual;9;41309206;182.843866;165.408343;Sim;Branca;.
3138609;31069019;Estadual;9;41309207;230.498192;182.626925;Sim;Não declarado;.
3138609;31069019;Estadual;9;41309208;190.41733;169.239259;Sim;Branca;FundamentalCompleto
3138609;31069019;Estadual;9;41309209;178.024243;225.277634;Sim;Preta;Sem informacoes
3138609;31069019;Estadual;9;41309210;300.363242;222.816024;Sim;Branca;Sem informacoes
3138609;31069019;Estadual;9;41309211;264.095172;280.493106;Sim;Parda;Sem informacoes
