;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
0;Nao_branca;Medio;Um;E
2;Branca;Superior;Um;E
3;Nao_branca;FundamentalIncompleto;Zero;E
5;Nao_branca;Superior;Zero;E
7;Nao_branca;FundamentalCompleto;Zero;E
11;Nao_branca;Medio;Um;E
13;Nao_branca;Medio;Dois;D
14;Branca;Medio;Um;E
15;Nao_branca;Medio;Zero;E
16;Nao_branca;Medio;Zero;D
17;Branca;FundamentalIncompleto;Zero;E
19;Branca;FundamentalIncompleto;Zero;E
21;Nao_branca;Medio;Zero;E
25;Branca;Medio;Um;E
27;Nao_branca;Medio;Zero;E
28;Branca;FundamentalIncompleto;Zero;E
29;Branca;Medio;Zero;E
30;Nao_branca;Medio;Um;E
31;Branca;Medio;Zero;E
32;Nao_branca;FundamentalCompleto;Zero;E
34;Nao_branca;Medio;Zero;E
35;Nao_branca;FundamentalCompleto;Zero;E
36;Nao_branca;Medio;Zero;E
37;Nao_branca;FundamentalCompleto;Zero;E
38;Nao_branca;Medio;Zero;E
39;Nao_branca;FundamentalIncompleto;Zero;E
40;Nao_branca;Superior;Dois;C
41;Branca;FundamentalCompleto;Um;D
44;Branca;Medio;Um;E
45;Nao_branca;FundamentalIncompleto;Zero;E
46;Nao_branca;Medio;Um;E
48;Branca;FundamentalCompleto;Zero;E
49;Nao_branca;FundamentalCompleto;Zero;E
51;Nao_branca;Medio;Zero;E
53;Nao_branca;NuncaEstudou;Um;E
54;Nao_branca;Medio;Zero;E
55;Nao_branca;FundamentalIncompleto;Um;E
56;Nao_branca;FundamentalIncompleto;Zero;E
61;Nao_branca;FundamentalIncompleto;Zero;E
62;Nao_branca;FundamentalIncompleto;Zero;E
64;Branca;Medio;Um;E
65;Branca;Medio;Zero;E
66;Nao_branca;FundamentalCompleto;Zero;E
67;Nao_branca;FundamentalCompleto;Zero;E
75;Nao_branca;Medio;Um;E
76;Nao_branca;FundamentalCompleto;Zero;E
78;Nao_branca;FundamentalIncompleto;Zero;E
79;Nao_branca;FundamentalIncompleto;Zero;E
80;Nao_branca;FundamentalIncompleto;Um;E
81;Branca;Medio;Zero;E
82;Nao_branca;FundamentalIncompleto;Zero;E
84;Nao_branca;FundamentalCompleto;Zero;E
85;Nao_branca;FundamentalIncompleto;Zero;E
91;Nao_branca;FundamentalIncompleto;Zero;E
92;Nao_branca;FundamentalCompleto;Um;E
93;Nao_branca;FundamentalIncompleto;Um;E
94;Nao_branca;Medio;Zero;E
95;Branca;Superior;Um;D
96;Branca;FundamentalIncompleto;Zero;E
98;Nao_branca;Medio;Zero;E
99;Nao_branca;Medio;Zero;E
100;Nao_branca;FundamentalIncompleto;Zero;E
101;Nao_branca;Medio;Zero;E
103;Nao_branca;Medio;Zero;E
104;Nao_branca;Medio;Zero;E
105;Nao_branca;FundamentalCompleto;Zero;E
107;Nao_branca;Medio;Zero;E
109;Nao_branca;FundamentalIncompleto;Zero;E
112;Nao_branca;Medio;Um;D
113;Nao_branca;FundamentalIncompleto;Zero;E
114;Nao_branca;Medio;Zero;E
115;Nao_branca;Medio;Zero;E
118;Nao_branca;FundamentalIncompleto;Zero;E
119;Nao_branca;FundamentalCompleto;Zero;E
120;Nao_branca;NuncaEstudou;Zero;E
122;Nao_branca;Medio;Zero;E
123;Branca;FundamentalCompleto;Um;E
127;Nao_branca;FundamentalIncompleto;Zero;E
128;Nao_branca;Superior;Zero;E
129;Nao_branca;Medio;Um;E
130;Nao_branca;FundamentalIncompleto;Zero;E
131;Branca;Superior;Zero;E
132;Nao_branca;FundamentalIncompleto;Um;E
133;Nao_branca;Medio;Um;E
134;Nao_branca;FundamentalCompleto;Zero;E
135;Nao_branca;FundamentalIncompleto;Zero;E
137;Branca;Medio;Zero;E
138;Nao_branca;Medio;Um;E
141;Nao_branca;FundamentalIncompleto;Zero;E
142;Nao_branca;Medio;Zero;E
145;Nao_branca;Medio;Um;E
146;Nao_branca;Medio;Um;E
147;Nao_branca;FundamentalIncompleto;Zero;E
148;Nao_branca;FundamentalCompleto;Zero;E
150;Branca;Medio;Um;E
153;Nao_branca;FundamentalIncompleto;Um;E
154;Nao_branca;Superior;Zero;E
156;Nao_branca;Medio;Zero;E
157;Branca;Medio;Zero;E
158;Nao_branca;Superior;Zero;E
159;Nao_branca;Superior;Um;D
160;Nao_branca;FundamentalIncompleto;Zero;E
162;Nao_branca;Medio;Zero;E
