;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
0;C3;Nao_branca;Medio;Um;D1
1;C2;Nao_branca;Fundamental;Zero;E1
3;C3;Nao_branca;Medio;Zero;E1
4;C2;Nao_branca;NuncaEstudou;Zero;E1
5;C2;Nao_branca;Fundamental;Zero;E1
6;C3;Nao_branca;Medio;Um;E1
8;C3;Nao_branca;Medio;Zero;E1
9;C3;Nao_branca;Medio;Zero;E1
10;C2;Nao_branca;Fundamental;Zero;E1
12;C3;Nao_branca;Medio;Zero;E1
13;C3;Nao_branca;Medio;Um;E1
15;C3;Nao_branca;Medio;Zero;E1
16;C3;Nao_branca;Medio;Zero;E1
17;C2;Nao_branca;NuncaEstudou;Zero;E1
18;C2;Nao_branca;Fundamental;Zero;E1
19;C2;Nao_branca;Fundamental;Zero;E1
20;C1;Branca;Medio;Zero;E1
22;C3;Nao_branca;Medio;Zero;E1
23;C2;Nao_branca;Fundamental;Zero;E1
26;C3;Nao_branca;Medio;Zero;E1
28;C2;Nao_branca;Fundamental;Zero;E1
30;C2;Nao_branca;Fundamental;Zero;E1
32;C2;Nao_branca;Fundamental;Zero;E1
33;C2;Nao_branca;Fundamental;Zero;E1
34;C2;Nao_branca;Fundamental;Zero;E1
35;C1;Branca;Fundamental;Tres;A1
37;C3;Nao_branca;Medio;Zero;E1
38;C2;Nao_branca;Fundamental;Zero;E1
41;C3;Nao_branca;Medio;Um;D1
42;C2;Nao_branca;Fundamental;Zero;E1
43;C2;Nao_branca;Fundamental;Zero;E1
44;C2;Nao_branca;Fundamental;Zero;E1
45;C3;Nao_branca;Medio;Zero;E1
46;C2;Nao_branca;Fundamental;Zero;C1
47;C3;Nao_branca;Medio;Zero;E1
48;C3;Nao_branca;Medio;Zero;E1
50;C3;Nao_branca;Medio;Zero;E1
52;C3;Nao_branca;Medio;Zero;E1
53;C3;Nao_branca;Medio;Um;E1
54;C2;Nao_branca;Fundamental;Zero;E1
55;C1;Branca;Medio;Um;C1
56;C2;Nao_branca;Fundamental;Zero;E1
57;C2;Nao_branca;Fundamental;Zero;E1
58;C3;Nao_branca;Medio;Zero;E1
60;C2;Nao_branca;Fundamental;Zero;E1
61;C2;Nao_branca;Fundamental;Zero;E1
62;C2;Nao_branca;Fundamental;Zero;E1
63;C3;Nao_branca;Medio;Zero;E1
64;C1;Branca;Superior;Zero;E1
65;C3;Nao_branca;Medio;Zero;E1
66;C3;Nao_branca;Medio;Um;D1
67;C2;Nao_branca;Fundamental;Zero;E1
68;C2;Nao_branca;Fundamental;Zero;E1
72;C3;Nao_branca;Medio;Zero;E1
73;C1;Branca;Medio;Zero;E1
75;C3;Nao_branca;Medio;Zero;E1
76;C1;Branca;Medio;Zero;E1
77;C2;Nao_branca;Fundamental;Um;E1
78;C3;Nao_branca;Medio;Zero;E1
79;C1;Branca;Fundamental;Zero;E1
80;C2;Nao_branca;Fundamental;Zero;E1
81;C2;Nao_branca;Fundamental;Zero;E1
82;C2;Nao_branca;Superior;Zero;E1
83;C2;Nao_branca;Fundamental;Zero;E1
84;C3;Nao_branca;Medio;Zero;E1
85;C2;Nao_branca;Fundamental;Zero;E1
86;C2;Nao_branca;Fundamental;Zero;E1
87;C1;Branca;Superior;Um;E1
91;C3;Nao_branca;Medio;Zero;D1
93;C2;Nao_branca;Fundamental;Zero;E1
94;C2;Nao_branca;Fundamental;Zero;E1
95;C3;Nao_branca;Medio;Zero;E1
96;C2;Nao_branca;Fundamental;Zero;E1
97;C3;Nao_branca;Medio;Zero;E1
99;C3;Nao_branca;Medio;Zero;E1
100;C3;Nao_branca;Medio;Um;C1
101;C2;Nao_branca;Fundamental;Zero;E1
102;C1;Nao declarado;Superior;Um;C1
103;C2;Nao_branca;Fundamental;Zero;E1
104;C1;Branca;Fundamental;Zero;E1
107;C3;Nao_branca;Medio;Um;E1
108;C2;Nao_branca;Fundamental;Um;E1
110;C2;Nao_branca;Fundamental;Zero;E1
111;C2;Nao_branca;Superior;Um;D1
113;C1;Branca;Medio;Um;E1
115;C3;Nao_branca;Medio;Um;E1
117;C1;Branca;Fundamental;Zero;E1
118;C2;Nao_branca;Fundamental;Zero;E1
119;C2;Nao_branca;Superior;Um;E1
120;C3;Nao_branca;Medio;Zero;E1
121;C2;Nao_branca;Superior;Zero;D1
123;C1;Branca;Superior;Zero;E1
124;C3;Nao_branca;Medio;Um;E1
125;C3;Nao_branca;Medio;Um;E1
126;C3;Nao_branca;Medio;Um;E1
129;C2;Nao_branca;Fundamental;Zero;E1
130;C2;Nao_branca;Superior;Zero;E1
132;C2;Nao_branca;NuncaEstudou;Zero;E1
133;C3;Nao_branca;Medio;Zero;E1
134;C2;Nao_branca;NuncaEstudou;Zero;E1
135;C2;Nao_branca;NuncaEstudou;Zero;E1
137;C3;Nao_branca;Medio;Zero;E1
138;C2;Nao_branca;Fundamental;Zero;E1
139;C3;Nao_branca;Medio;Zero;E1
141;C3;Nao_branca;Medio;Um;E1
142;C3;Nao_branca;Medio;Zero;E1
144;C1;Branca;Superior;Zero;E1
145;C2;Nao_branca;Fundamental;Zero;E1
146;C3;Nao_branca;Medio;Um;E1
147;C2;Nao_branca;Fundamental;Zero;E1
149;C3;Nao_branca;Medio;Um;E1
150;C2;Nao_branca;Superior;Um;E1
151;C3;Nao_branca;Medio;Zero;E1
152;C1;Branca;Fundamental;Um;E1
153;C2;Nao_branca;Fundamental;Zero;E1
155;C2;Nao_branca;Fundamental;Zero;E1
158;C3;Nao_branca;Medio;Um;D1
159;C3;Nao_branca;Medio;Zero;E1
160;C1;Branca;Medio;Zero;E1
163;C1;Branca;Medio;Zero;E1
165;C2;Nao_branca;Fundamental;Zero;E1
166;C2;Nao_branca;Superior;Zero;E1
167;C2;Nao_branca;Fundamental;Zero;E1
170;C3;Nao_branca;Medio;Zero;E1
172;C2;Nao_branca;NuncaEstudou;Zero;E1
174;C1;Branca;Superior;Zero;E1
175;C2;Nao_branca;Fundamental;Um;E1
176;C2;Nao_branca;Fundamental;Tres;E1
177;C3;Nao_branca;Medio;Um;E1
178;C2;Nao_branca;Fundamental;Zero;E1
179;C2;Nao_branca;Superior;Zero;E1
180;C3;Nao_branca;Medio;Zero;E1
181;C1;Branca;Fundamental;Zero;E1
183;C2;Nao_branca;Superior;Zero;E1
184;C1;Branca;Superior;Zero;E1
185;C2;Nao_branca;Superior;Zero;E1
186;C3;Nao declarado;Medio;Um;E1
187;C2;Nao_branca;Fundamental;Dois;E1
188;C1;Branca;Medio;Um;E1
189;C2;Nao_branca;Fundamental;Zero;E1
190;C1;Branca;Fundamental;Zero;E1
191;C2;Nao_branca;Fundamental;Zero;E1
192;C3;Nao_branca;Medio;Zero;E1
193;C2;Nao_branca;NuncaEstudou;Zero;E1
194;C3;Nao_branca;Medio;Zero;E1
195;C2;Nao_branca;Fundamental;Zero;E1
196;C2;Nao_branca;Fundamental;Zero;E1
197;C1;Branca;Fundamental;Zero;E1
198;C2;Nao_branca;Fundamental;Zero;E1
199;C3;Nao_branca;Medio;Zero;E1
200;C2;Nao_branca;Fundamental;Zero;E1
201;C1;Branca;Superior;Um;C1
202;C1;Branca;Medio;Zero;E1
203;C1;Branca;Fundamental;Um;E1
205;C2;Nao_branca;Fundamental;Zero;E1
206;C3;Nao_branca;Medio;Zero;E1
207;C1;Branca;Superior;Zero;E1
208;C3;Nao_branca;Medio;Um;E1
209;C1;Branca;Superior;Zero;E1
210;C2;Nao_branca;Fundamental;Zero;E1
211;C3;Nao_branca;Medio;Um;C1
212;C1;Branca;Medio;Zero;E1
213;C2;Nao_branca;Fundamental;Zero;E1
214;C1;Branca;Medio;Um;E1
215;C2;Nao_branca;Fundamental;Zero;E1
216;C3;Nao_branca;Medio;Zero;E1
217;C2;Nao_branca;Fundamental;Zero;E1
218;C1;Branca;Superior;Zero;E1
219;C2;Nao_branca;Superior;Zero;E1
220;C3;Nao_branca;Medio;Zero;E1
221;C1;Branca;Fundamental;Zero;E1
222;C3;Nao_branca;Medio;Zero;E1
223;C1;Branca;Medio;Zero;E1
224;C2;Nao_branca;Fundamental;Zero;E1
225;C2;Nao_branca;Fundamental;Um;E1
226;C1;Branca;Superior;Zero;E1
228;C2;Nao_branca;Superior;Zero;E1
229;C2;Nao_branca;NuncaEstudou;Zero;E1
230;C3;Nao_branca;Medio;Um;E1
231;C3;Nao_branca;Medio;Zero;E1
232;C3;Nao_branca;Medio;Zero;E1
233;C3;Nao_branca;Medio;Zero;E1
234;C3;Nao_branca;Medio;Dois;E1
235;C2;Nao_branca;Superior;Zero;E1
236;C2;Nao_branca;Superior;Zero;D1
237;C3;Nao_branca;Medio;Zero;E1
238;C1;Branca;Superior;Zero;E1
239;C3;Nao_branca;Medio;Zero;E1
240;C2;Nao_branca;Fundamental;Zero;E1
241;C2;Nao_branca;Fundamental;Zero;E1
243;C2;Nao_branca;Fundamental;Um;E1
244;C2;Nao_branca;Superior;Um;D1
245;C2;Nao_branca;Fundamental;Zero;E1
247;C3;Nao_branca;Medio;Zero;D1
248;C2;Nao_branca;Fundamental;Zero;E1
249;C2;Nao_branca;Fundamental;Um;E1
250;C2;Nao_branca;Fundamental;Zero;E1
251;C3;Nao_branca;Medio;Zero;E1
252;C2;Nao_branca;Fundamental;Um;E1
253;C2;Nao_branca;Superior;Zero;E1
254;C2;Nao_branca;Fundamental;Um;E1
255;C1;Branca;Fundamental;Zero;D1
257;C1;Branca;Superior;Um;B1
259;C3;Nao_branca;Medio;Zero;E1
261;C1;Branca;Medio;Um;E1
262;C3;Nao_branca;Medio;Zero;E1
265;C3;Nao_branca;Medio;Zero;E1
266;C3;Nao_branca;Medio;Zero;E1
268;C1;Branca;Medio;Zero;E1
269;C2;Nao_branca;Fundamental;Zero;E1
270;C2;Nao_branca;Superior;Um;C1
271;C1;Branca;Medio;Um;D1
272;C3;Nao_branca;Medio;Zero;E1
274;C1;Branca;Fundamental;Zero;D1
275;C2;Nao_branca;Fundamental;Zero;E1
276;C2;Nao_branca;Fundamental;Zero;E1
277;C3;Nao_branca;Medio;Zero;E1
282;C3;Nao_branca;Medio;Zero;E1
283;C1;Branca;Medio;Zero;E1
284;C2;Nao_branca;Fundamental;Zero;E1
285;C2;Nao_branca;Superior;Zero;E1
286;C1;Branca;Medio;Zero;E1
287;C1;Branca;Fundamental;Zero;E1
288;C2;Nao_branca;Fundamental;Zero;E1
289;C1;Branca;Superior;Um;D1
291;C2;Nao_branca;Fundamental;Zero;E1
292;C2;Nao_branca;Fundamental;Zero;E1
293;C2;Nao_branca;Fundamental;Zero;E1
294;C3;Nao_branca;Medio;Zero;E1
295;C3;Nao_branca;Medio;Um;E1
297;C3;Nao_branca;Medio;Zero;E1
301;C3;Nao_branca;Medio;Zero;D1
302;C3;Nao_branca;Medio;Um;E1
303;C1;Branca;Medio;Zero;E1
304;C2;Nao_branca;Superior;Zero;E1
305;C2;Nao_branca;Superior;Um;E1
306;C2;Nao_branca;Fundamental;Zero;E1
307;C2;Nao_branca;Fundamental;Zero;E1
308;C3;Nao_branca;Medio;Zero;E1
309;C2;Nao_branca;Fundamental;Zero;E1
310;C1;Branca;Medio;Um;E1
312;C2;Nao_branca;Fundamental;Zero;E1
313;C2;Nao_branca;Superior;Zero;E1
314;C2;Nao_branca;Superior;Zero;E1
316;C2;Nao_branca;Fundamental;Zero;E1
317;C2;Nao_branca;Fundamental;Zero;E1
318;C1;Branca;Superior;Um;D1
319;C1;Branca;Fundamental;Zero;E1
320;C3;Nao_branca;Medio;Um;E1
321;C3;Nao_branca;Medio;Um;D1
322;C2;Nao_branca;Fundamental;Zero;E1
323;C1;Branca;Medio;Um;E1
326;C2;Nao_branca;Fundamental;Zero;E1
328;C2;Nao_branca;Superior;Zero;E1
329;C2;Nao_branca;Fundamental;Um;E1
330;C2;Nao_branca;Fundamental;Zero;E1
331;C2;Nao_branca;Fundamental;Zero;E1
332;C2;Nao_branca;Fundamental;Um;E1
333;C1;Branca;Superior;Zero;E1
336;C2;Nao_branca;Superior;Zero;E1
337;C1;Branca;Fundamental;Um;E1
338;C3;Nao_branca;Medio;Zero;D1
341;C1;Branca;Superior;Um;C1
343;C2;Nao_branca;Superior;Um;E1
344;C1;Branca;Medio;Um;C1
346;C1;Branca;Fundamental;Zero;E1
347;C1;Branca;Fundamental;Um;E1
350;C3;Nao_branca;Medio;Um;E1
351;C3;Nao_branca;Medio;Zero;E1
352;C1;Branca;Medio;Dois;D1
353;C2;Nao_branca;Fundamental;Zero;D1
355;C3;Nao_branca;Medio;Zero;E1
356;C1;Branca;Superior;Dois;B1
358;C3;Nao_branca;Medio;Zero;E1
360;C3;Nao_branca;Medio;Zero;E1
362;C1;Branca;Superior;Um;E1
363;C3;Nao_branca;Medio;Zero;D1
364;C3;Nao_branca;Medio;Zero;E1
365;C2;Nao_branca;Fundamental;Zero;E1
366;C3;Nao_branca;Medio;Um;E1
369;C3;Nao_branca;Medio;Zero;E1
370;C2;Nao_branca;Superior;Um;E1
371;C1;Branca;Medio;Zero;E1
372;C1;Branca;Fundamental;Zero;E1
373;C2;Nao_branca;Fundamental;Zero;E1
374;C3;Nao_branca;Medio;Zero;E1
375;C3;Nao_branca;Medio;Um;D1
377;C3;Nao_branca;Medio;Zero;E1
379;C3;Nao_branca;Medio;Um;D1
381;C2;Nao_branca;Superior;Zero;D1
382;C3;Nao_branca;Medio;Zero;E1
384;C2;Nao_branca;Fundamental;Zero;E1
385;C2;Nao_branca;Fundamental;Zero;E1
386;C2;Nao_branca;Fundamental;Zero;E1
387;C1;Branca;Fundamental;Zero;C1
388;C2;Nao_branca;NuncaEstudou;Zero;E1
389;C3;Nao_branca;Medio;Um;D1
390;C3;Nao_branca;Medio;Um;E1
391;C1;Branca;Fundamental;Zero;E1
392;C3;Nao_branca;Medio;Zero;E1
393;C3;Nao_branca;Medio;Zero;E1
394;C3;Nao_branca;Medio;Zero;E1
395;C1;Nao declarado;Superior;Zero;D1
396;C2;Nao_branca;Fundamental;Zero;E1
398;C1;Branca;Superior;Um;E1
399;C3;Nao_branca;Medio;Um;E1
400;C2;Nao_branca;Fundamental;Zero;E1
401;C2;Nao_branca;Superior;Zero;E1
402;C3;Nao_branca;Medio;Zero;E1
403;C3;Nao_branca;Medio;Zero;E1
407;C3;Nao_branca;Medio;Zero;E1
408;C2;Nao_branca;Superior;Zero;E1
412;C2;Nao_branca;Fundamental;Zero;E1
413;C2;Nao_branca;Superior;Um;D1
414;C1;Branca;Medio;Zero;D1
415;C2;Nao_branca;Fundamental;Zero;E1
417;C2;Nao_branca;Fundamental;Zero;E1
418;C1;Branca;Fundamental;Zero;E1
419;C1;Branca;Fundamental;Zero;C1
420;C2;Nao_branca;Fundamental;Zero;E1
421;C1;Branca;Superior;Um;D1
422;C2;Nao_branca;Fundamental;Zero;E1
424;C1;Nao declarado;Fundamental;Zero;E1
426;C3;Nao_branca;Medio;Zero;E1
427;C2;Nao_branca;Fundamental;Zero;E1
428;C2;Nao_branca;Fundamental;Zero;E1
429;C3;Nao_branca;Medio;Zero;D1
432;C3;Nao_branca;Medio;Zero;E1
434;C3;Nao_branca;Medio;Zero;E1
435;C2;Nao_branca;Superior;Zero;E1
436;C2;Nao_branca;NuncaEstudou;Zero;E1
437;C1;Branca;Superior;Dois;D1
439;C3;Nao_branca;Medio;Um;D1
440;C2;Nao_branca;Superior;Um;E1
441;C1;Branca;Medio;Zero;E1
442;C1;Branca;Medio;Zero;E1
444;C2;Nao_branca;NuncaEstudou;Zero;E1
445;C1;Branca;Medio;Zero;E1
447;C1;Branca;Superior;Zero;E1
448;C2;Nao_branca;Fundamental;Zero;E1
449;C1;Branca;Superior;Zero;E1
450;C2;Nao_branca;Fundamental;Zero;E1
451;C3;Nao_branca;Medio;Zero;E1
452;C1;Branca;Fundamental;Zero;E1
453;C2;Nao_branca;Fundamental;Zero;E1
454;C1;Branca;Medio;Zero;E1
455;C3;Nao_branca;Medio;Um;E1
456;C2;Nao_branca;Fundamental;Zero;E1
457;C2;Nao_branca;Fundamental;Zero;E1
461;C2;Nao_branca;Superior;Zero;E1
462;C1;Branca;Medio;Zero;E1
463;C2;Nao_branca;Superior;Zero;E1
466;C2;Nao_branca;Superior;Zero;E1
468;C3;Nao_branca;Medio;Zero;E1
