;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
0;Nao_branca;Medio;0;E1
1;Nao_branca;Medio;0;E1
2;Branca;Superior;1;D1
3;Branca;Fundamental;0;E1
5;Nao_branca;Medio;1;E1
7;Branca;Medio;1;E1
8;Branca;Medio;1;E1
9;Nao_branca;Fundamental;1;E1
10;Branca;Fundamental;1;E1
11;Nao_branca;Medio;0;E1
12;Branca;Fundamental;1;E1
13;Nao_branca;Medio;1;E1
14;Branca;Medio;0;D1
15;Nao_branca;Medio;1;E1
16;Nao_branca;Medio;0;E1
18;Nao_branca;Medio;1;D1
19;Branca;Medio;0;E1
21;Nao_branca;Fundamental;0;E1
22;Nao_branca;Medio;1;D1
23;Nao_branca;Medio;0;E1
24;Nao_branca;Medio;2;D1
25;Nao_branca;Medio;1;E1
27;Nao_branca;Fundamental;1;E1
28;Branca;Superior;2;D1
29;Nao_branca;Fundamental;1;E1
30;Nao_branca;Fundamental;1;E1
31;Nao_branca;Fundamental;0;E1
33;Branca;Fundamental;0;E1
34;Nao_branca;Medio;1;E1
35;Branca;Fundamental;2;E1
36;Nao_branca;Fundamental;0;D1
37;Nao_branca;Fundamental;1;E1
38;Nao_branca;Fundamental;1;D1
39;Branca;Medio;0;D1
40;Nao_branca;Fundamental;0;E1
41;Nao_branca;Superior;2;D1
43;Branca;Fundamental;0;E1
44;Branca;Fundamental;1;E1
47;Branca;Fundamental;1;E1
48;Nao_branca;Fundamental;0;E1
49;Nao declarado;Fundamental;1;E1
50;Nao_branca;Fundamental;1;E1
53;Nao_branca;Medio;2;E1
54;Nao_branca;Fundamental;1;E1
55;Branca;Superior;1;D1
56;Nao_branca;Medio;4;B1
57;Nao_branca;Fundamental;0;E1
58;Branca;Fundamental;1;E1
59;Nao_branca;Fundamental;1;C1
61;Nao_branca;Fundamental;0;D1
62;Nao_branca;Fundamental;0;E1
64;Nao_branca;Medio;1;D1
67;Branca;Superior;1;D1
68;Nao_branca;Superior;0;E1
70;Nao_branca;Fundamental;1;D1
71;Nao_branca;Medio;0;E1
72;Nao_branca;Medio;1;D1
73;Branca;Fundamental;1;E1
75;Nao_branca;Fundamental;1;D1
78;Nao_branca;Fundamental;1;E1
79;Branca;Fundamental;1;E1
80;Nao_branca;Fundamental;1;E1
82;Nao_branca;Medio;1;E1
83;Branca;Fundamental;1;E1
84;Nao_branca;Fundamental;0;E1
85;Branca;Medio;0;E1
87;Nao_branca;Medio;1;D1
88;Branca;Fundamental;0;E1
89;Branca;NuncaEstudou;1;E1
90;Nao_branca;Fundamental;1;D1
91;Branca;Superior;1;D1
92;Branca;Superior;1;D1
93;Branca;Medio;1;D1
94;Nao_branca;Fundamental;0;E1
96;Nao_branca;Fundamental;1;E1
98;Branca;Medio;0;E1
99;Nao_branca;Superior;1;D1
100;Nao_branca;Medio;1;E1
102;Branca;Medio;0;E1
103;Nao_branca;Fundamental;0;E1
107;Nao_branca;Fundamental;1;E1
109;Branca;Fundamental;1;E1
110;Nao_branca;Fundamental;0;E1
111;Nao_branca;Medio;0;E1
113;Nao_branca;Medio;0;E1
114;Branca;Fundamental;0;E1
115;Branca;Fundamental;1;D1
116;Nao_branca;Medio;0;D1
117;Nao_branca;Medio;1;D1
121;Nao_branca;Fundamental;1;E1
122;Nao_branca;Fundamental;0;E1
123;Nao_branca;Medio;0;E1
124;Branca;Medio;1;E1
125;Branca;Fundamental;1;E1
126;Nao_branca;Medio;2;E1
127;Branca;Superior;0;E1
128;Nao_branca;Fundamental;1;E1
130;Nao_branca;Fundamental;0;E1
131;Nao_branca;Superior;0;D1
132;Branca;Fundamental;1;D1
139;Branca;Medio;0;E1
141;Nao_branca;Superior;1;C1
142;Branca;Fundamental;0;E1
143;Nao_branca;Medio;1;D1
145;Branca;Fundamental;0;E1
147;Nao_branca;Fundamental;0;E1
148;Nao_branca;Fundamental;0;E1
149;Nao_branca;Fundamental;1;E1
151;Nao_branca;Medio;1;E1
153;Nao_branca;Medio;1;D1
154;Nao_branca;Medio;1;E1
155;Nao_branca;Fundamental;1;D1
156;Nao_branca;Medio;1;E1
161;Branca;Superior;1;E1
162;Nao_branca;Fundamental;1;E1
164;Nao_branca;Fundamental;0;E1
165;Nao_branca;Fundamental;1;E1
166;Nao_branca;Superior;1;E1
167;Nao_branca;Fundamental;1;E1
168;Branca;Medio;1;E1
169;Branca;Medio;1;E1
170;Nao_branca;Medio;1;D1
171;Branca;Superior;1;D1
172;Nao_branca;Fundamental;1;E1
173;Branca;Fundamental;0;E1
175;Nao_branca;Superior;0;C1
176;Branca;Medio;0;E1
177;Nao_branca;Superior;1;E1
178;Branca;Medio;2;D1
184;Nao_branca;NuncaEstudou;0;E1
185;Nao_branca;Superior;1;C1
188;Nao_branca;Fundamental;1;E1
191;Nao_branca;Superior;1;D1
192;Nao_branca;Medio;1;E1
194;Nao_branca;Fundamental;0;E1
196;Nao_branca;Superior;2;D1
199;Branca;Fundamental;0;D1
200;Nao_branca;Fundamental;0;E1
201;Nao_branca;Medio;0;E1
202;Nao_branca;Fundamental;0;E1
