;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
0;Branca;Fundamental;1;E
2;Nao_branca;Medio;1;E
4;Branca;Fundamental;2;E
6;Branca;Medio;1;D
7;Branca;Fundamental;2;E
8;Branca;Medio;3;D
10;Branca;Medio;1;D
11;Nao_branca;Fundamental;1;D
12;Nao_branca;Fundamental;1;E
14;Branca;Medio;2;D
15;Nao_branca;Medio;0;E
16;Nao_branca;Superior;1;D
18;Nao_branca;Fundamental;3;C
19;Branca;Superior;1;C
20;Nao_branca;Fundamental;1;D
21;Branca;Fundamental;1;E
22;Nao_branca;Medio;0;E
23;Nao_branca;Fundamental;1;E
25;Nao_branca;Superior;1;E
26;Nao_branca;Fundamental;0;E
27;Branca;Medio;1;E
28;Nao_branca;Medio;1;E
29;Nao_branca;Medio;1;E
30;Branca;Medio;0;D
31;Branca;Fundamental;1;E
32;Branca;Fundamental;0;E
33;Branca;Fundamental;1;E
34;Branca;Superior;1;D
35;Nao_branca;Medio;1;E
36;Branca;Medio;0;E
38;Nao_branca;Medio;1;C
39;Nao_branca;Fundamental;0;E
42;Nao_branca;Medio;1;D
44;Branca;Fundamental;1;E
45;Nao_branca;Fundamental;1;E
46;Branca;Fundamental;0;E
47;Nao_branca;Fundamental;0;E
48;Branca;Superior;2;D
50;Branca;Medio;0;E
51;Branca;Superior;0;E
52;Nao_branca;Superior;1;E
53;Nao_branca;Medio;1;E
55;Nao_branca;Superior;1;D
56;Branca;Fundamental;0;E
57;Nao_branca;Fundamental;0;E
58;Nao_branca;Fundamental;1;E
60;Nao_branca;Fundamental;0;E
61;Nao_branca;Fundamental;1;E
62;Nao_branca;Fundamental;0;E
63;Branca;Superior;1;D
64;Nao_branca;Superior;1;D
65;Branca;Medio;1;E
66;Nao_branca;Superior;0;E
67;Nao_branca;Fundamental;0;E
71;Nao_branca;Fundamental;1;E
73;Nao_branca;Medio;1;E
75;Branca;Superior;0;E
77;Nao_branca;Medio;1;D
79;Nao_branca;Fundamental;0;E
80;Nao_branca;Superior;1;E
81;Nao_branca;Fundamental;0;E
82;Branca;Fundamental;0;E
85;Branca;Medio;0;D
86;Branca;Medio;1;D
87;Branca;Superior;2;D
88;Nao_branca;Medio;0;E
89;Branca;Fundamental;0;D
90;Nao_branca;Fundamental;0;E
91;Nao_branca;Medio;0;E
92;Branca;Fundamental;0;E
93;Nao_branca;Medio;2;D
94;Nao_branca;Medio;1;E
95;Branca;Superior;1;D
96;Branca;Superior;3;C
98;Nao_branca;Superior;0;E
99;Branca;Medio;0;D
101;Branca;NuncaEstudou;0;E
102;Branca;Superior;1;C
103;Nao_branca;Fundamental;1;C
104;Nao_branca;Fundamental;2;E
105;Nao_branca;Fundamental;1;D
106;Nao_branca;Fundamental;0;E
107;Nao_branca;Superior;3;D
108;Branca;Medio;1;E
109;Nao_branca;Fundamental;0;E
110;Branca;Superior;1;D
111;Branca;Fundamental;1;E
112;Nao_branca;Medio;1;D
113;Nao_branca;Medio;1;D
114;Nao_branca;Fundamental;1;C
115;Branca;Medio;1;D
116;Branca;Medio;1;D
118;Nao_branca;Medio;1;C
119;Branca;Fundamental;0;E
120;Nao_branca;Medio;1;D
121;Nao_branca;Fundamental;0;E
124;Nao_branca;Fundamental;1;D
126;Branca;Medio;3;C
127;Nao_branca;NuncaEstudou;1;E
128;Branca;Medio;0;E
129;Nao_branca;Fundamental;0;E
130;Nao_branca;Medio;1;C
131;Nao_branca;Medio;2;D
