;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
0;C1;Branca;Superior;2;C1
1;C3;Nao_branca;Superior;0;E1
4;C3;Nao_branca;Fundamental;1;E1
5;C3;Nao_branca;Fundamental;1;E1
6;C2;Nao_branca;Medio;2;D1
7;C1;Branca;Superior;1;E1
8;C2;Branca;Superior;0;D1
9;C2;Nao_branca;Superior;1;D1
10;C1;Branca;Medio;1;D1
11;C3;Nao_branca;Fundamental;0;E1
12;C3;Branca;Fundamental;0;E1
13;C2;Nao_branca;Medio;0;D1
14;C2;Nao_branca;Superior;3;B1
15;C2;Nao_branca;Medio;1;D1
17;C1;Branca;Medio;0;E1
20;C1;Nao_branca;Medio;1;E1
21;C3;Nao_branca;Fundamental;0;E1
23;C1;Branca;Superior;2;C1
24;C1;Nao_branca;Medio;1;E1
25;C2;Nao_branca;Medio;0;D1
26;C1;Branca;Superior;1;C1
27;C1;Branca;Superior;1;C1
28;C3;Nao_branca;Fundamental;0;E1
31;C3;Nao_branca;Fundamental;1;E1
33;C3;Nao_branca;Fundamental;0;E1
34;C3;Nao_branca;Fundamental;0;E1
35;C2;Nao_branca;Superior;1;D1
37;C2;Nao_branca;Superior;1;D1
38;C2;Nao_branca;Superior;1;E1
39;C3;Nao_branca;Fundamental;0;E1
40;C1;Nao_branca;Medio;1;E1
41;C1;Nao_branca;Medio;2;B1
42;C1;Branca;Fundamental;1;E1
43;C1;Branca;Medio;1;C1
44;C3;Nao_branca;Medio;0;E1
45;C3;Nao_branca;Medio;0;E1
46;C1;Branca;Fundamental;1;E1
47;C3;Branca;Fundamental;0;E1
48;C2;Nao_branca;Medio;1;D1
49;C3;Branca;Fundamental;0;E1
50;C3;Nao_branca;Fundamental;0;E1
51;C2;Nao_branca;Medio;2;D1
54;C2;Branca;Superior;1;D1
55;C3;Branca;Fundamental;0;E1
56;C2;Nao_branca;Superior;1;E1
57;C3;Nao_branca;Medio;0;E1
58;C3;Nao_branca;Fundamental;0;E1
59;C2;Branca;Superior;1;D1
60;C3;Nao_branca;Fundamental;0;E1
61;C3;Nao_branca;Fundamental;0;D1
62;C1;Nao_branca;Medio;1;E1
67;C1;Nao_branca;Medio;1;E1
68;C1;Nao_branca;Medio;1;E1
69;C3;Nao_branca;Medio;0;E1
70;C1;Branca;Medio;1;D1
71;C2;Branca;Superior;1;D1
72;C3;Nao_branca;Fundamental;0;E1
73;C3;Nao_branca;Fundamental;0;E1
78;C1;Branca;Medio;0;E1
81;C3;Nao_branca;Fundamental;0;E1
83;C1;Branca;Superior;0;E1
84;C1;Branca;Fundamental;1;D1
85;C1;Branca;Medio;0;E1
86;C2;Nao_branca;Superior;1;D1
87;C2;Branca;Superior;1;D1
88;C3;Nao_branca;Medio;0;C1
89;C3;Nao_branca;Fundamental;0;E1
91;C1;Nao_branca;Medio;1;E1
92;C3;Nao_branca;Fundamental;0;E1
94;C3;Nao_branca;Fundamental;0;E1
95;C1;Branca;Medio;1;E1
96;C1;Branca;Medio;1;B1
97;C3;Nao_branca;Fundamental;1;E1
99;C1;Branca;Fundamental;1;E1
100;C2;Branca;Superior;1;D1
101;C1;Nao_branca;NuncaEstudou;1;E1
103;C1;Branca;Fundamental;1;D1
104;C3;Nao_branca;Fundamental;0;E1
105;C3;Nao_branca;Medio;0;E1
106;C3;Nao_branca;Fundamental;0;E1
107;C1;Branca;Medio;2;C1
108;C3;Nao_branca;Medio;0;E1
110;C1;Nao_branca;Medio;1;E1
111;C3;Nao_branca;Fundamental;0;E1
112;C3;Nao_branca;Fundamental;0;E1
113;C1;Nao_branca;Medio;1;E1
114;C3;Nao_branca;Medio;0;E1
115;C3;Nao_branca;Fundamental;1;E1
116;C2;Nao_branca;Medio;0;D1
117;C1;Branca;Fundamental;1;E1
118;C3;Nao_branca;Fundamental;1;E1
121;C1;Branca;Superior;2;C1
122;C3;Nao_branca;Medio;0;E1
123;C1;Branca;Medio;1;C1
126;C1;Branca;Medio;2;D1
128;C2;Branca;Superior;2;D1
130;C3;Nao_branca;Fundamental;1;E1
131;C1;Branca;Fundamental;1;D1
134;C1;Branca;Medio;1;D1
139;C1;Branca;Medio;0;D1
140;C3;Nao_branca;Fundamental;1;E1
141;C3;Nao_branca;Fundamental;0;E1
142;C1;Branca;Superior;0;E1
143;C3;Branca;Fundamental;0;E1
144;C3;Nao_branca;Medio;0;C1
145;C1;Nao_branca;Medio;1;E1
146;C1;Nao_branca;Medio;1;C1
147;C1;Branca;Superior;1;C1
148;C3;Nao_branca;Fundamental;0;E1
149;C3;Branca;Fundamental;0;E1
150;C1;Branca;Medio;1;C1
151;C1;Nao_branca;Medio;2;C1
153;C3;Nao_branca;Medio;0;E1
154;C1;Branca;Fundamental;1;D1
155;C3;Nao_branca;Fundamental;1;E1
156;C3;Nao_branca;Fundamental;1;E1
157;C1;Branca;Medio;1;D1
158;C1;Branca;Medio;0;D1
160;C1;Branca;Medio;1;E1
163;C2;Nao_branca;Fundamental;1;D1
164;C1;Branca;Fundamental;1;E1
165;C3;Nao_branca;Medio;0;E1
167;C1;Nao_branca;Medio;1;E1
168;C1;Branca;Superior;1;E1
169;C1;Branca;Superior;0;E1
170;C2;Nao_branca;Medio;1;D1
171;C1;Branca;Fundamental;1;E1
172;C1;Branca;Fundamental;1;E1
173;C1;Branca;Fundamental;1;E1
175;C1;Branca;Superior;1;E1
177;C2;Branca;Superior;1;D1
178;C3;Nao_branca;Fundamental;0;E1
180;C3;Nao_branca;Fundamental;1;E1
181;C1;Nao_branca;Medio;1;E1
182;C1;Branca;Fundamental;1;D1
185;C3;Nao_branca;Superior;0;E1
186;C1;Branca;Superior;0;E1
