;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
0;Branca;Medio;Dois;D
1;Branca;Medio;Um;E
5;Nao_branca;Medio;Um;E
6;Branca;Medio;Um;D
7;Nao_branca;Medio;Um;E
8;Branca;Medio;Zero;E
9;Nao_branca;Medio;Dois;D
10;Branca;Medio;Um;D
11;Branca;Superior;Um;D
12;Branca;FundamentalIncompleto;Um;E
15;Branca;Superior;Zero;E
16;Nao_branca;Medio;Um;E
19;Nao_branca;Superior;Zero;E
21;Nao_branca;FundamentalIncompleto;Um;D
22;Branca;Medio;Zero;E
23;Branca;Medio;Um;E
24;Nao_branca;FundamentalCompleto;Zero;E
26;Nao_branca;FundamentalCompleto;Zero;E
30;Branca;Medio;Dois;D
31;Nao_branca;Medio;Um;E
33;Nao_branca;FundamentalIncompleto;Zero;E
34;Branca;FundamentalCompleto;Um;D
39;Nao_branca;FundamentalCompleto;Zero;E
40;Branca;Superior;Dois;D
43;Branca;FundamentalIncompleto;Um;E
44;Nao_branca;Medio;Um;E
46;Branca;FundamentalIncompleto;Um;E
48;Nao_branca;Medio;Zero;E
49;Nao_branca;Superior;Um;C
50;Nao_branca;Medio;Dois;E
51;Nao_branca;FundamentalIncompleto;Zero;E
52;Nao_branca;Medio;Dois;D
53;Nao_branca;FundamentalIncompleto;Zero;E
54;Nao_branca;FundamentalIncompleto;Um;E
58;Nao_branca;Superior;Um;E
59;Nao_branca;FundamentalIncompleto;Um;E
62;Branca;FundamentalIncompleto;Um;E
63;Nao_branca;FundamentalCompleto;Zero;E
66;Nao_branca;Medio;Zero;E
69;Nao_branca;FundamentalCompleto;Um;E
70;Nao_branca;FundamentalCompleto;Zero;D
71;Branca;Medio;Um;D
72;Nao_branca;Medio;Um;E
73;Branca;Medio;Um;D
74;Nao_branca;Medio;Zero;E
78;Nao_branca;FundamentalIncompleto;Zero;D
79;Branca;FundamentalIncompleto;Um;C
80;Branca;Medio;Zero;E
81;Nao_branca;Medio;Um;E
82;Branca;Medio;Zero;E
84;Nao_branca;FundamentalCompleto;Zero;E
85;Branca;Medio;Um;D
86;Branca;Medio;Dois;E
88;Branca;Superior;Um;B
89;Branca;FundamentalIncompleto;Um;E
90;Nao_branca;Medio;Um;E
91;Branca;Medio;Um;E
92;Nao_branca;FundamentalIncompleto;Zero;E
94;Nao_branca;FundamentalIncompleto;Um;E
98;Nao_branca;Medio;Um;E
102;Nao_branca;FundamentalCompleto;Um;D
107;Nao_branca;Superior;Zero;E
108;Nao_branca;Medio;Um;E
109;Branca;Medio;Um;E
110;Branca;Superior;Um;E
112;Nao_branca;Medio;Zero;E
116;Nao_branca;Medio;Um;E
118;Nao_branca;Medio;Um;C
119;Nao_branca;Medio;Tres;D
123;Nao_branca;FundamentalIncompleto;Zero;E
124;Branca;Medio;Zero;E
125;Branca;Medio;Um;C
126;Nao_branca;FundamentalIncompleto;Um;D
127;Branca;Medio;Um;E
128;Nao_branca;Medio;Zero;E
135;Nao_branca;FundamentalIncompleto;Um;D
138;Nao_branca;FundamentalCompleto;Um;E
139;Branca;FundamentalCompleto;Um;C
141;Nao_branca;NuncaEstudou;Zero;E
143;Branca;Medio;Um;E
145;Nao_branca;Medio;Um;E
146;Nao_branca;FundamentalIncompleto;Um;E
147;Nao_branca;Medio;Um;E
148;Nao_branca;Medio;Zero;E
153;Branca;Medio;Dois;E
156;Branca;Medio;Zero;E
157;Nao_branca;Medio;Um;E
158;Nao_branca;FundamentalIncompleto;Zero;E
159;Nao_branca;FundamentalIncompleto;Um;E
165;Nao_branca;FundamentalIncompleto;Zero;E
168;Branca;Medio;Um;D
171;Nao_branca;Medio;Um;D
174;Branca;Medio;Zero;E
176;Nao_branca;FundamentalIncompleto;Zero;E
178;Nao_branca;Superior;Dois;D
179;Nao_branca;Medio;Zero;D
180;Nao_branca;FundamentalIncompleto;Um;E
181;Branca;Superior;Um;C
182;Branca;FundamentalIncompleto;Um;E
183;Branca;Medio;Zero;E
186;Branca;Superior;Um;C
188;Nao_branca;FundamentalCompleto;Zero;D
189;Nao_branca;Medio;Um;D
190;Nao_branca;FundamentalIncompleto;Um;E
195;Branca;Medio;Um;E
200;Nao_branca;FundamentalIncompleto;Um;E
206;Branca;FundamentalIncompleto;Um;E
207;Nao_branca;Superior;Tres;D
208;Branca;Medio;Um;E
212;Nao_branca;FundamentalCompleto;Zero;E
213;Branca;Medio;Um;E
214;Branca;FundamentalIncompleto;Um;E
215;Nao_branca;Superior;Dois;D
219;Nao_branca;Medio;Zero;E
224;Branca;FundamentalCompleto;Zero;E
228;Nao_branca;Medio;Dois;E
229;Nao_branca;Superior;Tres;C
230;Nao_branca;Medio;Um;D
231;Nao_branca;Medio;Dois;D
233;Nao_branca;Medio;Um;E
234;Nao_branca;FundamentalIncompleto;Zero;E
235;Branca;Medio;Quatro_ou_mais;C
236;Nao_branca;Medio;Um;E
240;Branca;Superior;Um;D
244;Nao_branca;FundamentalIncompleto;Um;D
248;Branca;FundamentalIncompleto;Zero;E
251;Branca;Medio;Um;D
253;Nao_branca;Medio;Dois;B
254;Nao_branca;Medio;Zero;E
255;Branca;Superior;Um;C
260;Nao_branca;FundamentalCompleto;Zero;C
262;Branca;Medio;Dois;E
264;Branca;Medio;Um;C
266;Nao_branca;FundamentalCompleto;Um;C
271;Nao_branca;FundamentalIncompleto;Zero;E
274;Branca;Superior;Dois;C
276;Branca;Superior;Um;B
280;Nao_branca;Superior;Um;C
281;Branca;Medio;Zero;E
283;Branca;Medio;Um;D
287;Nao_branca;Medio;Um;E
289;Branca;Medio;Um;E
297;Nao_branca;Medio;Um;C
298;Nao_branca;FundamentalCompleto;Zero;D
301;Branca;Medio;Zero;E
302;Nao_branca;FundamentalIncompleto;Um;E
304;Nao_branca;Medio;Zero;D
309;Branca;Medio;Zero;E
310;Nao_branca;Medio;Quatro_ou_mais;C
