;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
0;F;Branca;Superior;2;C
1;A;Nao_branca;Superior;0;E
4;B;Nao_branca;Fundamental;1;E
5;B;Nao_branca;Fundamental;1;E
6;B;Nao_branca;Medio;2;D
7;E;Branca;Superior;1;E
8;F;Branca;Superior;0;D
9;F;Nao_branca;Superior;1;D
10;E;Branca;Medio;1;D
11;A;Nao_branca;Fundamental;0;E
12;C;Branca;Fundamental;0;E
13;D;Nao_branca;Medio;0;D
14;A;Nao_branca;Superior;3;B
15;B;Nao_branca;Medio;1;D
17;C;Branca;Medio;0;E
20;B;Nao_branca;Medio;1;E
21;A;Nao_branca;Fundamental;0;E
23;F;Branca;Superior;2;C
24;B;Nao_branca;Medio;1;E
25;D;Nao_branca;Medio;0;D
26;F;Branca;Superior;1;C
27;F;Branca;Superior;1;C
28;A;Nao_branca;Fundamental;0;E
31;A;Nao_branca;Fundamental;1;E
33;A;Nao_branca;Fundamental;0;E
34;A;Nao_branca;Fundamental;0;E
35;F;Nao_branca;Superior;1;D
37;F;Nao_branca;Superior;1;D
38;B;Nao_branca;Superior;1;E
39;A;Nao_branca;Fundamental;0;E
40;B;Nao_branca;Medio;1;E
41;B;Nao_branca;Medio;2;B
42;E;Branca;Fundamental;1;E
43;E;Branca;Medio;1;C
44;D;Nao_branca;Medio;0;E
45;D;Nao_branca;Medio;0;E
46;C;Branca;Fundamental;1;E
47;C;Branca;Fundamental;0;E
48;B;Nao_branca;Medio;1;D
49;C;Branca;Fundamental;0;E
50;A;Nao_branca;Fundamental;0;E
51;B;Nao_branca;Medio;2;D
54;F;Branca;Superior;1;D
55;C;Branca;Fundamental;0;E
56;B;Nao_branca;Superior;1;E
57;D;Nao_branca;Medio;0;E
58;A;Nao_branca;Fundamental;0;E
59;F;Branca;Superior;1;D
60;A;Nao_branca;Fundamental;0;E
61;A;Nao_branca;Fundamental;0;D
62;B;Nao_branca;Medio;1;E
67;B;Nao_branca;Medio;1;E
68;B;Nao_branca;Medio;1;E
69;D;Nao_branca;Medio;0;E
70;E;Branca;Medio;1;D
71;F;Branca;Superior;1;D
72;A;Nao_branca;Fundamental;0;E
73;A;Nao_branca;Fundamental;0;E
78;C;Branca;Medio;0;E
81;A;Nao_branca;Fundamental;0;E
83;C;Branca;Superior;0;E
84;F;Branca;Fundamental;1;D
85;C;Branca;Medio;0;E
86;F;Nao_branca;Superior;1;D
87;F;Branca;Superior;1;D
88;D;Nao_branca;Medio;0;C
89;A;Nao_branca;Fundamental;0;E
91;B;Nao_branca;Medio;1;E
92;A;Nao_branca;Fundamental;0;E
94;A;Nao_branca;Fundamental;0;E
95;E;Branca;Medio;1;E
96;E;Branca;Medio;1;B
97;A;Nao_branca;Fundamental;1;E
99;E;Branca;Fundamental;1;E
100;F;Branca;Superior;1;D
101;B;Nao_branca;NuncaEstudou;1;E
103;F;Branca;Fundamental;1;D
104;A;Nao_branca;Fundamental;0;E
105;D;Nao_branca;Medio;0;E
106;A;Nao_branca;Fundamental;0;E
107;E;Branca;Medio;2;C
108;D;Nao_branca;Medio;0;E
110;B;Nao_branca;Medio;1;E
111;A;Nao_branca;Fundamental;0;E
112;A;Nao_branca;Fundamental;0;E
113;B;Nao_branca;Medio;1;E
114;D;Nao_branca;Medio;0;E
115;A;Nao_branca;Fundamental;1;E
116;D;Nao_branca;Medio;0;D
117;C;Branca;Fundamental;1;E
118;A;Nao_branca;Fundamental;1;E
121;F;Branca;Superior;2;C
122;D;Nao_branca;Medio;0;E
123;E;Branca;Medio;1;C
126;E;Branca;Medio;2;D
128;F;Branca;Superior;2;D
130;A;Nao_branca;Fundamental;1;E
131;F;Branca;Fundamental;1;D
134;E;Branca;Medio;1;D
139;C;Branca;Medio;0;D
140;A;Nao_branca;Fundamental;1;E
141;A;Nao_branca;Fundamental;0;E
142;C;Branca;Superior;0;E
143;C;Branca;Fundamental;0;E
144;D;Nao_branca;Medio;0;C
145;B;Nao_branca;Medio;1;E
146;B;Nao_branca;Medio;1;C
147;F;Branca;Superior;1;C
148;A;Nao_branca;Fundamental;0;E
149;C;Branca;Fundamental;0;E
150;E;Branca;Medio;1;C
151;B;Nao_branca;Medio;2;C
153;D;Nao_branca;Medio;0;E
154;F;Branca;Fundamental;1;D
155;A;Nao_branca;Fundamental;1;E
156;A;Nao_branca;Fundamental;1;E
157;E;Branca;Medio;1;D
158;C;Branca;Medio;0;D
160;E;Branca;Medio;1;E
163;F;Nao_branca;Fundamental;1;D
164;C;Branca;Fundamental;1;E
165;D;Nao_branca;Medio;0;E
167;B;Nao_branca;Medio;1;E
168;E;Branca;Superior;1;E
169;C;Branca;Superior;0;E
170;B;Nao_branca;Medio;1;D
171;E;Branca;Fundamental;1;E
172;E;Branca;Fundamental;1;E
173;C;Branca;Fundamental;1;E
175;E;Branca;Superior;1;E
177;F;Branca;Superior;1;D
178;A;Nao_branca;Fundamental;0;E
180;A;Nao_branca;Fundamental;1;E
181;B;Nao_branca;Medio;1;E
182;F;Branca;Fundamental;1;D
185;A;Nao_branca;Superior;0;E
186;C;Branca;Superior;0;E
187;A;Nao_branca;Superior;0;D
188;B;Nao_branca;Medio;1;C
190;C;Branca;Superior;0;E
191;F;Branca;Fundamental;2;D
192;B;Nao_branca;Superior;1;E
195;A;Nao_branca;Fundamental;1;E
196;B;Nao_branca;Fundamental;1;E
197;D;Nao_branca;Medio;0;E
198;E;Branca;Medio;1;D
199;A;Nao_branca;Fundamental;0;E
200;D;Nao declarado;Medio;0;E
203;A;Nao_branca;Fundamental;0;E
204;E;Branca;Superior;1;E
205;A;Nao_branca;Fundamental;1;E
206;C;Branca;Medio;0;E
207;B;Nao_branca;Medio;1;E
208;A;Nao_branca;Fundamental;1;E
210;A;Nao_branca;Fundamental;0;D
212;A;Nao_branca;Fundamental;1;E
213;F;Branca;Fundamental;1;D
215;A;Nao_branca;Fundamental;2;D
216;A;Nao_branca;Fundamental;0;E
217;B;Nao declarado;Medio;1;E
218;A;Nao_branca;Fundamental;0;E
219;A;Nao_branca;Fundamental;0;E
220;B;Nao_branca;Medio;1;D
221;C;Branca;Fundamental;1;E
223;C;Branca;Fundamental;0;D
224;B;Nao_branca;Medio;1;B
226;E;Branca;Medio;1;E
227;C;Branca;Fundamental;0;E
228;B;Nao declarado;Medio;1;E
229;B;Nao_branca;Medio;1;E
230;F;Branca;Superior;1;D
232;A;Nao_branca;Superior;0;D
233;A;Nao_branca;Fundamental;2;D
234;C;Branca;Fundamental;0;E
236;A;Nao_branca;Fundamental;1;E
238;C;Branca;Medio;0;E
241;C;Branca;Superior;0;C
243;C;Branca;Medio;0;E
244;B;Nao_branca;Medio;1;E
245;D;Nao_branca;Medio;0;E
251;A;Nao_branca;Fundamental;1;E
252;D;Nao_branca;Medio;0;E
253;A;Nao_branca;Fundamental;2;D
254;A;Nao_branca;Fundamental;0;E
255;B;Nao_branca;Superior;1;C
256;A;Nao_branca;Superior;0;E
257;A;Nao_branca;Fundamental;0;D
259;A;Nao_branca;Superior;0;E
260;A;Nao_branca;Fundamental;1;E
261;B;Nao_branca;Medio;1;E
262;D;Nao_branca;Medio;0;E
263;B;Nao_branca;Medio;1;E
264;C;Branca;Fundamental;0;E
265;B;Nao_branca;Superior;1;E
267;C;Branca;Medio;0;D
268;A;Nao_branca;Fundamental;1;E
270;C;Branca;Fundamental;0;E
271;C;Branca;Fundamental;4;C
274;A;Nao_branca;Fundamental;0;E
275;E;Branca;Fundamental;1;C
276;B;Nao_branca;Medio;1;C
277;A;Nao_branca;Fundamental;1;D
279;D;Nao_branca;Medio;0;E
280;C;Branca;Fundamental;0;D
282;E;Branca;Fundamental;1;C
283;A;Nao_branca;Fundamental;0;E
286;E;Branca;Fundamental;1;E
287;C;Branca;Fundamental;0;E
288;E;Branca;Superior;1;E
289;C;Branca;Fundamental;0;E
290;E;Branca;Medio;1;D
291;C;Branca;Fundamental;1;E
293;E;Branca;Medio;1;E
294;B;Nao_branca;Medio;1;E
296;D;Nao_branca;Medio;0;E
298;F;Branca;Superior;2;C
299;E;Branca;Medio;2;D
301;A;Nao_branca;Fundamental;1;D
303;C;Branca;Medio;0;E
304;F;Branca;Fundamental;1;D
305;C;Branca;Fundamental;1;C
306;C;Branca;Fundamental;0;E
307;C;Branca;Fundamental;0;E
308;F;Branca;Superior;3;C
310;A;Nao_branca;Superior;0;D
311;D;Nao_branca;Medio;0;E
312;A;Nao_branca;Fundamental;0;E
313;E;Branca;Medio;4;C
314;F;Nao_branca;Superior;1;D
315;B;Nao_branca;Medio;1;C
317;B;Nao_branca;Medio;2;C
319;B;Nao_branca;Medio;2;D
322;A;Nao_branca;Fundamental;0;E
325;C;Branca;Fundamental;1;E
328;A;Nao_branca;Superior;0;E
329;C;Branca;Fundamental;1;E
330;C;Branca;Fundamental;0;E
333;E;Branca;Superior;1;E
334;A;Nao_branca;Fundamental;1;E
337;A;Nao_branca;Fundamental;1;E
338;F;Branca;Fundamental;1;D
339;D;Nao_branca;Medio;0;E
340;B;Nao_branca;Medio;1;E
341;D;Nao_branca;Medio;0;E
342;A;Nao_branca;Fundamental;0;E
343;E;Branca;Medio;2;C
344;C;Branca;Fundamental;0;E
345;A;Nao_branca;Superior;0;E
346;A;Nao_branca;Fundamental;0;E
348;A;Nao_branca;Fundamental;1;E
349;B;Nao_branca;Medio;1;E
350;C;Branca;Superior;2;E
351;A;Nao_branca;Superior;2;C
353;C;Branca;Superior;0;E
354;E;Branca;Medio;1;E
355;B;Nao_branca;Medio;1;E
356;A;Nao_branca;Fundamental;1;E
357;B;Nao_branca;Medio;3;E
361;B;Nao_branca;Superior;1;E
362;C;Branca;Superior;0;E
363;A;Nao_branca;Superior;0;D
364;C;Branca;Fundamental;0;E
366;B;Nao_branca;Medio;1;E
367;D;Nao_branca;Medio;0;E
368;F;Branca;Fundamental;1;D
370;C;Branca;Fundamental;1;E
373;D;Nao_branca;Medio;0;E
374;C;Branca;NuncaEstudou;2;E
375;C;Branca;Fundamental;1;E
376;D;Nao_branca;Medio;0;D
377;F;Branca;Superior;1;D
378;D;Nao_branca;Medio;0;E
379;C;Branca;Fundamental;0;D
380;F;Branca;Superior;2;C
381;B;Nao_branca;Medio;1;E
382;A;Nao_branca;Fundamental;0;E
383;E;Branca;Superior;1;E
384;A;Nao_branca;Fundamental;0;D
389;E;Branca;Medio;2;C
391;A;Nao_branca;Fundamental;0;E
392;A;Nao_branca;Fundamental;1;D
393;F;Branca;Fundamental;1;D
395;A;Nao_branca;Fundamental;1;D
396;D;Nao_branca;Medio;0;E
397;A;Nao_branca;NuncaEstudou;0;E
399;F;Branca;Superior;1;D
400;A;Nao_branca;Fundamental;0;E
401;A;Nao_branca;Fundamental;0;E
402;B;Nao_branca;Medio;1;B
405;A;Nao_branca;Fundamental;1;E
407;D;Nao_branca;Medio;0;E
409;A;Nao_branca;Fundamental;0;E
412;D;Nao_branca;Medio;0;E
413;D;Nao_branca;Medio;0;E
415;E;Branca;Medio;1;D
417;A;Nao_branca;Fundamental;0;D
418;C;Branca;Fundamental;1;E
419;E;Branca;Medio;1;E
420;A;Nao_branca;Fundamental;0;E
421;A;Nao_branca;Fundamental;0;E
422;C;Branca;Fundamental;2;C
423;A;Nao_branca;Fundamental;0;D
424;A;Nao_branca;Fundamental;0;E
426;B;Nao_branca;Medio;1;E
427;D;Nao_branca;Medio;0;E
429;B;Nao_branca;Superior;1;E
430;D;Nao_branca;Medio;0;E
431;C;Branca;Fundamental;2;D
432;C;Branca;Fundamental;1;E
433;E;Branca;Superior;1;E
434;C;Branca;Fundamental;3;C
436;F;Branca;Fundamental;1;D
437;B;Nao_branca;Superior;1;E
439;F;Branca;Superior;2;D
440;D;Nao_branca;Medio;0;E
442;C;Branca;Fundamental;0;E
444;B;Nao_branca;Fundamental;1;E
445;A;Nao_branca;Fundamental;1;E
448;A;Nao_branca;Fundamental;0;E
449;B;Nao_branca;Fundamental;1;D
450;C;Branca;Fundamental;1;E
451;A;Nao_branca;Fundamental;0;E
452;F;Branca;Fundamental;1;D
453;B;Nao_branca;Fundamental;1;E
454;A;Nao_branca;Fundamental;0;E
456;A;Nao_branca;Fundamental;0;E
458;E;Branca;Medio;1;E
459;B;Nao_branca;Superior;1;E
460;B;Nao_branca;Medio;1;D
461;D;Nao_branca;Medio;0;E
462;A;Nao_branca;Fundamental;0;E
464;A;Nao_branca;Fundamental;0;E
465;C;Branca;Fundamental;1;E
467;C;Branca;Fundamental;0;E
469;C;Branca;Fundamental;0;D
470;C;Branca;Fundamental;0;D
471;F;Nao_branca;Superior;0;D
473;B;Nao_branca;Medio;1;E
474;B;Nao_branca;Medio;1;D
475;C;Branca;Fundamental;0;E
476;D;Nao_branca;Medio;0;E
480;A;Nao_branca;Fundamental;0;E
481;A;Nao_branca;Fundamental;0;E
482;A;Nao_branca;Superior;0;E
483;A;Nao_branca;Fundamental;0;E
484;D;Nao_branca;Medio;0;E
485;B;Nao_branca;Medio;1;D
486;C;Branca;Medio;0;E
487;B;Nao_branca;Fundamental;1;D
488;A;Nao_branca;Fundamental;1;E
489;C;Branca;Fundamental;1;E
492;B;Nao_branca;Medio;1;C
493;E;Branca;Medio;1;D
494;A;Nao_branca;Fundamental;1;E
495;A;Nao_branca;Fundamental;0;E
497;B;Nao_branca;Superior;1;E
499;C;Branca;Fundamental;0;E
500;A;Nao_branca;Fundamental;0;E
502;D;Nao_branca;Medio;0;E
503;B;Nao_branca;Medio;1;E
505;B;Nao_branca;Medio;1;E
506;B;Nao_branca;Medio;1;E
507;B;Nao_branca;Medio;1;C
508;D;Nao_branca;Medio;0;D
509;A;Nao_branca;Superior;0;C
511;B;Nao_branca;Medio;1;E
512;A;Nao_branca;Superior;0;C
513;C;Branca;Fundamental;0;D
514;D;Nao_branca;Medio;0;E
515;A;Nao_branca;NuncaEstudou;0;E
516;F;Nao_branca;Superior;0;D
517;C;Branca;Medio;0;D
518;D;Nao_branca;Medio;0;E
519;A;Nao_branca;Fundamental;1;D
520;D;Nao_branca;Medio;0;E
522;B;Nao_branca;Medio;1;D
523;A;Nao_branca;Fundamental;0;E
524;B;Nao_branca;Medio;1;D
525;A;Nao_branca;Fundamental;1;E
526;C;Branca;Fundamental;1;E
527;C;Branca;Fundamental;0;E
528;F;Branca;Superior;1;D
529;D;Nao_branca;Medio;0;E
530;B;Nao_branca;Medio;1;C
531;B;Nao_branca;Superior;1;C
532;A;Nao_branca;Fundamental;0;E
534;E;Branca;Fundamental;1;E
535;C;Branca;Fundamental;0;D
536;B;Nao_branca;Fundamental;1;E
537;A;Nao_branca;Fundamental;1;E
538;A;Nao_branca;Fundamental;0;E
539;D;Nao_branca;Medio;0;E
540;C;Branca;Fundamental;1;E
541;D;Nao_branca;Medio;0;D
543;D;Nao_branca;Medio;0;D
545;E;Branca;Medio;1;E
546;F;Branca;Superior;1;C
547;A;Nao_branca;Fundamental;1;E
548;A;Nao_branca;Fundamental;1;E
549;D;Nao_branca;Medio;0;E
550;E;Branca;Superior;1;E
551;B;Nao_branca;Medio;1;E
553;A;Nao_branca;Fundamental;0;E
556;C;Branca;Fundamental;1;E
557;B;Nao_branca;Medio;1;E
558;B;Nao_branca;Superior;1;E
559;E;Branca;Medio;3;E
564;A;Nao_branca;Fundamental;0;D
565;F;Branca;Superior;1;C
566;C;Branca;Fundamental;0;E
569;C;Branca;Fundamental;0;E
570;A;Nao_branca;Fundamental;0;D
571;D;Nao_branca;Medio;0;E
572;A;Nao_branca;Superior;0;E
574;E;Branca;Superior;1;E
575;B;Nao_branca;Medio;2;E
576;A;Nao_branca;Fundamental;1;E
577;B;Nao_branca;Medio;1;D
578;B;Nao_branca;Medio;1;D
579;B;Nao_branca;Medio;1;E
580;A;Nao_branca;Fundamental;1;E
581;A;Nao_branca;Fundamental;0;E
583;D;Nao_branca;Medio;0;E
585;E;Branca;Medio;1;E
586;A;Nao_branca;Superior;0;E
587;F;Branca;Superior;3;C
588;A;Nao_branca;Superior;0;E
590;A;Nao_branca;Fundamental;1;D
592;A;Nao_branca;Fundamental;0;E
594;B;Nao_branca;Medio;1;E
596;A;Nao_branca;Superior;0;E
597;E;Branca;Medio;1;E
599;B;Nao_branca;Medio;1;D
600;F;Branca;Fundamental;1;D
602;E;Branca;Superior;1;E
604;B;Nao_branca;Superior;1;E
606;D;Nao_branca;Medio;0;E
607;A;Nao_branca;Fundamental;1;C
608;E;Branca;Fundamental;1;E
610;F;Branca;Fundamental;1;D
611;B;Nao_branca;Superior;1;C
612;B;Nao_branca;Medio;1;E
613;A;Nao_branca;Fundamental;0;E
614;C;Branca;Fundamental;1;E
615;C;Branca;Fundamental;1;E
617;C;Branca;Fundamental;0;E
618;E;Branca;Fundamental;1;E
620;A;Nao_branca;Fundamental;1;D
621;E;Branca;Medio;1;D
622;F;Branca;Fundamental;1;D
624;F;Nao_branca;Superior;1;D
626;B;Nao_branca;Fundamental;1;E
627;E;Branca;Medio;1;E
628;B;Nao_branca;Medio;1;D
629;E;Branca;Medio;1;D
630;C;Branca;Medio;0;E
631;B;Nao_branca;Medio;1;D
632;B;Nao_branca;Medio;1;E
634;B;Nao_branca;Medio;1;D
635;E;Branca;Medio;2;D
637;C;Branca;Fundamental;3;E
638;A;Nao_branca;Fundamental;0;D
641;B;Nao_branca;Medio;1;E
642;F;Branca;Superior;1;D
644;B;Nao_branca;Superior;1;C
645;C;Branca;Fundamental;0;E
646;C;Branca;Fundamental;1;E
648;A;Nao_branca;Fundamental;0;E
