;Unnamed: 0;NU_INSCRICAO;TP_SEXO;TP_COR_RACA;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NO_MUNICIPIO_PROVA;CO_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
0;357;200002617962;M;3;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;2.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;517.0;551.1;408.9;332.9;1;1.0;160.0;200.0;200.0;200.0;180.0;940.0;E;E;B;B;4.0;A;A;B;C;B;A;B;B;B;B;B;A;B;E;B;B;B;B;B;B
2;463;200003472884;M;1;2;0;2;1.0;0;2101251.0;Bacabeira;MA;2.0;1.0;1.0;Santa Rita;21;1;1;1;1;558.8;556.2;591.6;655.7;0;1.0;140.0;120.0;120.0;120.0;160.0;660.0;B;G;C;D;4.0;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B
3;888;200001776846;F;3;2;0;2;1.0;0;2103802.0;Dom Pedro;MA;2.0;1.0;1.0;Dom Pedro;21;1;1;1;1;421.8;576.1;545.4;491.4;0;1.0;120.0;160.0;120.0;120.0;60.0;580.0;A;B;A;A;5.0;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B
5;1596;200002518905;F;3;2;0;2;1.0;0;2100709.0;Anajatuba;MA;2.0;1.0;1.0;Anajatuba;21;1;1;1;1;611.5;654.4;582.5;704.3;1;1.0;160.0;200.0;160.0;200.0;200.0;920.0;D;F;A;B;4.0;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;A
7;1910;200004649353;F;3;2;0;2;1.0;0;2112209.0;Timon;MA;2.0;1.0;1.0;Timon;21;1;1;1;1;498.3;626.0;607.1;368.1;0;1.0;160.0;200.0;160.0;180.0;140.0;840.0;D;D;B;B;3.0;B;A;B;C;A;B;B;A;A;A;A;A;A;B;B;A;D;B;A;B
9;2416;200002313969;F;3;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;1.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;622.0;731.7;654.3;813.2;0;1.0;180.0;200.0;200.0;200.0;200.0;980.0;E;D;C;B;4.0;C;A;C;C;A;A;B;B;A;A;B;A;A;B;A;A;D;B;B;B
11;2511;200004639531;M;3;2;0;2;1.0;0;2105302.0;Imperatriz;MA;2.0;1.0;1.0;Imperatriz;21;1;1;1;1;464.4;566.6;509.3;560.3;1;1.0;100.0;120.0;120.0;120.0;100.0;560.0;D;E;D;B;3.0;B;A;B;C;B;A;B;B;A;A;A;A;A;C;A;A;D;A;B;B
12;3229;200006221404;F;1;2;0;2;1.0;0;2100204.0;AlcÃ¢ntara;MA;1.0;1.0;1.0;AlcÃ¢ntara;21;1;1;1;1;591.5;569.2;546.3;561.1;1;1.0;140.0;140.0;140.0;180.0;180.0;780.0;E;G;D;D;5.0;E;A;B;D;B;A;B;B;A;A;A;A;A;B;A;A;D;A;B;B
13;3592;200005478350;M;3;2;0;2;1.0;0;2110807.0;SÃ£o FÃ©lix de Balsas;MA;2.0;1.0;1.0;Balsas;21;1;1;1;1;379.3;359.2;422.1;461.2;0;1.0;100.0;120.0;80.0;80.0;80.0;460.0;F;E;D;F;4.0;F;A;C;D;B;B;B;B;B;B;A;A;A;B;A;A;D;A;C;B
14;3843;200004134251;F;1;2;0;2;1.0;0;2105302.0;Imperatriz;MA;2.0;1.0;1.0;Imperatriz;21;1;1;1;1;476.6;577.7;608.9;465.1;0;1.0;180.0;200.0;180.0;160.0;160.0;880.0;E;E;A;A;4.0;D;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;D;A;B;B
